Player,Team
n tilak varma,punjab kings
shreyas iyer,punjab kings
marco jansen,punjab kings
yuzvendra chahal,punjab kings
aniket verma,punjab kings
jasprit bumrah,punjab kings
ravi bishnoi,punjab kings
priyansh arya,punjab kings
prithvi shaw,punjab kings
harsh dubey,punjab kings
ashwani kumar,punjab kings
cooper connolly,punjab kings
mohsin khan,punjab kings
prashant veer,punjab kings
jitesh sharma,punjab kings
