Player,Team
k l rahul,delhi capitals
axar patel,delhi capitals
tristan stubbs,delhi capitals
digvesh singh,delhi capitals
trent boult,delhi capitals
glenn phillips,delhi capitals
aiden markram,delhi capitals
kuldeep yadav,delhi capitals
vipraj nigam,delhi capitals
krunal pandya,delhi capitals
harshal patel,delhi capitals
ayush badoni,delhi capitals
tim david,delhi capitals
bhuvneshwar kumar,delhi capitals
nehal wadhera,delhi capitals
