Player,Team
yashasvi jaiswal,rajasthan royals
shimron hetmyer,rajasthan royals
ravindra jadeja,rajasthan royals
mohammad siraj,rajasthan royals
khaleel ahmed,rajasthan royals
vaibhav arora,rajasthan royals
m s dhoni,rajasthan royals
jamie overton,rajasthan royals
pathum nissanka,rajasthan royals
liam livingstone,rajasthan royals
omkar tarmale,rajasthan royals
rahul chahar,rajasthan royals
devdutt padikkal,rajasthan royals
sandeep sharma,rajasthan royals
abdul samad,rajasthan royals
