Player,Team
shubman gill,gujarat titans
luhan dre pretorious,gujarat titans
anshul kamboj,gujarat titans
noor ahmad,gujarat titans
mohammed shami,gujarat titans
rashid khan,gujarat titans
finn allen,gujarat titans
naman dhir,gujarat titans
prasidh krishna,gujarat titans
hardik pandya,gujarat titans
david miller,gujarat titans
abhishek porel,gujarat titans
sameer rizvi,gujarat titans
aqib nabi,gujarat titans
