Player,Team
travis head,sunrisers hyderabad
abhishek sharma,sunrisers hyderabad
ishan kishan,sunrisers hyderabad
prabhsimran singh,sunrisers hyderabad
romario shepherd,sunrisers hyderabad
tushar deshpande,sunrisers hyderabad
kagiso rabada,sunrisers hyderabad
v iyer,sunrisers hyderabad
mayank markande,sunrisers hyderabad
salil arora,sunrisers hyderabad
anukul roy,sunrisers hyderabad
vaibhav sooryavanshi,sunrisers hyderabad
matheesha pathirana,sunrisers hyderabad
akeal hosein,sunrisers hyderabad
