POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,kagiso rabada,308.0,12,21,127,3,2,3,0.0,0,GT
2,bhuvneshwar kumar,281.5,11,21,103,3,1,1,0.0,0,RCB
3,abhishek sharma,271.5,12,0,6,43,37,5,0.0,0,SRH
4,anshul kamboj,264.5,11,19,102,2,2,2,0.5,0,CSK
5,vaibhav sooryavanshi,248.0,11,0,0,38,40,0,0.0,0,RR
6,jofra archer,243.5,11,15,111,2,0,5,1.0,0,RR
7,k l rahul,236.0,12,0,0,50,24,2,0.5,1,DC
8,sai sudharsan,236.0,12,0,0,49,22,3,1.0,0,GT
9,mohammed siraj,231.0,11,13,130,0,0,4,0.0,0,GT
10,prince yadav,229.0,10,16,101,0,0,4,0.0,0,LSG
11,rashid khan,228.5,12,16,93,4,0,3,0.0,0,GT
12,ishan kishan,227.0,12,0,0,42,23,8,1.0,1,SRH
13,sanju samson,226.0,11,0,0,45,23,4,0.5,1,CSK
14,eshan malinga,226.0,12,16,90,0,0,3,1.5,0,SRH
15,shubman gill,224.0,11,0,0,45,20,9,1.0,0,GT
16,jamie overton,223.0,10,14,60,13,6,1,0.0,0,CSK
17,heinrich klaasen,220.5,12,0,0,38,23,12,0.0,0,SRH
18,jos buttler,219.5,12,0,0,36,18,19,1.5,1,GT
19,cooper connolly,213.0,11,0,0,34,28,4,1.0,0,PBKS
20,nitish kumar reddy,211.0,11,7,48,14,16,8,0.0,0,SRH
21,ryan rickelton,208.5,9,0,0,25,33,7,0.0,0,MI
22,mohammad shami,200.0,11,9,114,2,3,3,0.0,0,LSG
23,prabhsimran singh,195.0,11,0,0,42,17,6,0.5,0,PBKS
24,jason holder,193.5,6,13,63,2,3,6,0.0,0,GT
25,krunal pandya,192.5,11,10,58,10,9,2,0.0,0,RCB
26,kartik tyagi,192.0,10,13,81,1,1,3,0.5,0,KKR
27,arshdeep singh,191.5,11,13,90,0,0,3,0.0,0,PBKS
28,sunil narine,190.5,9,10,94,2,4,3,0.0,0,KKR
29,shreyas iyer,185.0,11,0,0,27,25,6,0.0,0,PBKS
30,virat kohli,181.5,11,0,0,42,15,6,0.0,0,RCB
31,devdutt padikkal,181.5,11,0,0,31,20,10,0.0,0,RCB
32,dhruv jurel,181.0,11,0,0,30,14,14,1.5,1,RR
33,axar patel,180.0,12,10,65,11,2,3,0.0,0,DC
34,mitchell marsh,179.0,11,0,0,31,24,3,0.0,0,LSG
35,priyansh arya,178.5,10,0,0,23,32,0,0.0,0,PBKS
36,travis head,178.0,12,0,0,38,22,0,0.0,0,SRH
37,rajat patidar,176.5,11,0,0,18,30,7,0.0,0,RCB
38,noor ahmad,175.5,11,12,75,0,1,4,0.0,0,CSK
39,prasidh krishna,173.0,8,14,63,0,0,1,0.5,0,GT
40,josh hazlewood,166.0,8,10,83,0,0,4,0.0,0,RCB
41,ravindra jadeja,159.5,11,8,46,15,4,1,0.5,0,RR
42,cameron green,158.5,10,4,28,16,12,7,0.0,0,KKR
43,washington sundar,157.0,12,1,14,32,10,6,0.0,0,GT
44,yashasvi jaiswal,155.5,11,0,0,36,14,3,0.0,0,RR
45,vaibhav arora,154.5,9,11,69,0,0,2,0.5,0,KKR
46,nandre burger,150.5,10,9,85,0,0,1,0.0,0,RR
47,am ghazanfar,149.0,9,13,58,0,0,0,0.0,0,MI
48,sakib hussain,148.5,8,12,59,0,0,1,0.0,0,SRH
49,donovan ferreira,143.5,10,1,2,21,16,8,0.0,0,RR
50,varun chakaravarthy,142.0,8,10,61,0,0,2,0.0,0,KKR
51,mohsin khan,142.0,5,10,57,0,0,2,0.0,0,LSG
52,marco jansen,141.0,11,6,71,1,3,6,0.0,0,PBKS
53,naman dhir,140.5,11,0,0,30,12,7,0.0,0,MI
54,pathum nissanka,135.5,10,0,0,33,12,2,0.0,0,DC
55,ravi bishnoi,134.5,9,11,42,0,0,5,0.0,0,RR
56,lungisani ngidi,133.5,9,8,71,0,0,0,0.5,0,DC
57,anukul roy,132.0,10,8,42,2,2,6,1.0,0,KKR
58,tilak varma,130.0,11,0,0,24,10,10,0.0,0,MI
59,rishabh pant,130.0,11,0,0,25,9,9,1.5,0,LSG
60,nitish rana,130.0,9,0,7,27,10,3,1.0,0,DC
