POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,anshul kamboj,127.0,5,10,43,2,1,1,0.0,0,CSK
2,ishan kishan,122.5,5,0,0,22,12,4,7.0,1,SRH
3,prasidh krishna,118.5,4,10,40,0,0,1,0.0,0,GT
4,vaibhav sooryavanshi,114.0,5,0,0,18,18,0,0.0,0,RR
5,jofra archer,112.5,5,7,49,0,0,3,7.0,0,RR
6,dhruv jurel,104.5,5,0,0,17,8,7,10.5,0,RR
7,ravi bishnoi,104.0,5,9,28,0,0,4,0.0,0,RR
8,rajat patidar,104.0,4,0,0,11,18,3,0.0,0,RCB
9,jos buttler,102.5,4,0,0,22,7,4,7.0,0,GT
10,jamie overton,97.0,4,5,25,7,4,1,0.0,0,CSK
11,nitish kumar reddy,94.5,5,2,15,7,10,4,0.0,0,SRH
12,yashasvi jaiswal,93.5,5,0,0,19,10,2,0.0,0,RR
13,sanju samson,87.5,5,0,0,21,8,0,0.0,0,CSK
14,mohammad shami,87.5,4,4,51,1,1,1,0.0,0,LSG
15,virat kohli,85.5,4,0,0,19,7,3,0.0,0,RCB
16,angkrish raghuvanshi,83.0,5,0,0,20,7,1,0.0,0,KKR
17,ayush mhatre,82.0,5,0,0,15,11,0,0.0,0,CSK
18,nandre burger,81.0,5,5,46,0,0,0,0.0,0,RR
19,rashid khan,81.0,4,5,33,3,0,1,0.0,0,GT
20,prince yadav,80.5,4,6,36,0,0,1,0.0,0,LSG
21,vaibhav arora,80.5,5,6,36,0,0,1,0.0,0,KKR
22,shubman gill,79.5,3,0,0,16,6,5,0.0,0,GT
23,eshan malinga,79.0,5,5,31,0,0,1,10.5,0,SRH
24,mukesh kumar,78.5,4,4,36,0,0,3,7.0,0,DC
25,jacob duffy,77.5,3,6,30,0,0,1,0.0,0,RCB
26,sarfaraz khan,77.5,5,0,0,17,6,3,3.5,0,CSK
27,sameer rizvi,77.0,4,0,0,13,11,0,0.0,0,DC
28,devdutt padikkal,77.0,4,0,0,15,6,5,0.0,0,RCB
29,sunil narine,77.0,4,3,37,2,4,0,0.0,0,KKR
30,abhishek sharma,75.5,5,0,2,9,13,1,0.0,0,SRH
31,heinrich klaasen,74.0,5,0,0,13,8,3,0.0,0,SRH
32,prabhsimran singh,73.0,4,0,0,11,9,3,3.5,0,PBKS
33,harsh dubey,73.0,5,5,28,2,0,2,0.0,0,SRH
34,lungisani ngidi,72.0,4,5,34,0,0,0,0.0,0,DC
35,sandeep sharma,71.5,5,5,29,0,0,3,0.0,0,RR
36,kagiso rabada,71.5,4,4,34,1,2,0,0.0,0,GT
37,bhuvneshwar kumar,71.0,4,4,35,1,0,1,0.0,0,RCB
38,noor ahmad,70.0,5,4,28,0,1,3,0.0,0,CSK
39,kartik tyagi,70.0,5,5,30,1,0,1,0.0,0,KKR
40,ryan rickelton,70.0,4,0,0,9,12,1,0.0,0,MI
41,phil salt,68.5,4,0,0,11,8,4,0.0,0,RCB
42,xavier bartlett,68.0,4,4,29,0,1,3,0.0,0,PBKS
43,hardik pandya,67.0,3,2,17,11,1,2,0.0,0,MI
44,tim david,66.0,4,0,1,8,12,0,0.0,0,RCB
45,shreyas iyer,66.0,4,0,0,9,10,1,0.0,0,PBKS
46,shivang kumar,65.5,4,4,26,2,0,0,3.5,0,SRH
47,ashok sharma,64.5,4,4,34,0,0,1,0.0,0,GT
48,aiden markram,64.0,4,0,4,14,5,3,0.0,0,LSG
49,rohit sharma,63.5,4,0,0,13,8,0,0.0,0,MI
50,anukul roy,63.0,5,4,23,0,0,2,7.0,0,KKR
51,sai sudharsan,63.0,4,0,0,16,3,1,7.0,0,GT
52,mohammed siraj,61.5,4,3,38,0,0,1,0.0,0,GT
53,jaydev unadkat,61.5,4,4,23,0,0,3,0.0,0,SRH
54,washington sundar,60.0,4,1,7,11,3,2,0.0,0,GT
55,krunal pandya,59.5,4,5,22,0,0,1,0.0,0,RCB
56,pathum nissanka,59.0,4,0,0,17,4,1,0.0,0,DC
57,ravindra jadeja,58.5,5,3,14,7,0,1,3.5,0,RR
58,priyansh arya,58.0,3,0,0,8,10,0,0.0,0,PBKS
59,vyshak vijaykumar,57.0,4,5,19,0,0,0,0.0,0,PBKS
60,khaleel ahmed,57.0,5,2,43,0,0,0,0.0,0,CSK
61,ajinkya rahane,57.0,5,0,0,8,9,1,0.0,0,KKR
62,travis head,56.5,5,0,0,17,4,0,0.0,0,SRH
63,rishabh pant,56.0,4,0,0,13,1,4,7.0,0,LSG
64,cooper connolly,55.5,4,0,0,12,5,2,0.0,0,PBKS
65,shardul thakur,55.5,4,5,15,1,0,0,0.0,0,MI
66,shivam dube,55.5,5,1,2,10,4,3,0.0,0,CSK
67,k l rahul,55.5,4,0,0,13,5,1,0.0,0,DC
68,tushar deshpande,54.5,3,3,17,0,3,1,3.5,0,RR
69,sherfane rutherford,54.0,4,0,0,4,11,1,0.0,0,MI
