POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,prasidh krishna,118.5,4,10,40,0,0,1,0.0,0,GT
2,vaibhav sooryavanshi,114.0,4,0,0,18,18,0,0.0,0,RR
3,rajat patidar,104.0,4,0,0,11,18,3,0.0,0,RCB
4,anshul kamboj,104.0,4,8,34,2,1,1,0.0,0,CSK
5,jos buttler,102.5,4,0,0,22,7,4,7.0,0,GT
6,ravi bishnoi,100.5,4,9,27,0,0,3,0.0,0,RR
7,dhruv jurel,98.5,4,0,0,17,8,6,7.0,0,RR
8,yashasvi jaiswal,93.5,4,0,0,19,10,2,0.0,0,RR
9,jamie overton,88.5,3,5,19,6,4,1,0.0,0,CSK
10,mohammed shami,87.5,4,4,51,1,1,1,0.0,0,LSG
11,jofra archer,85.5,4,5,36,0,0,3,7.0,0,RR
12,virat kohli,85.5,4,0,0,19,7,3,0.0,0,RCB
13,rashid khan,81.0,4,5,33,3,0,1,0.0,0,GT
14,prince yadav,80.5,4,6,36,0,0,1,0.0,0,LSG
15,shubman gill,79.5,3,0,0,16,6,5,0.0,0,GT
16,mukesh kumar,78.5,4,4,36,0,0,3,7.0,0,DC
17,jacob duffy,77.5,3,6,30,0,0,1,0.0,0,RCB
18,sameer rizvi,77.0,4,0,0,13,11,0,0.0,0,DC
19,devdutt padikkal,77.0,4,0,0,15,6,5,0.0,0,RCB
20,ishan kishan,73.5,4,0,0,14,6,2,7.0,1,SRH
21,abhishek sharma,73.0,4,0,2,9,13,0,0.0,0,SRH
22,prabhsimran singh,73.0,4,0,0,11,9,3,3.5,0,PBKS
23,nitish kumar reddy,72.5,4,2,12,7,6,2,0.0,0,SRH
24,lungisani ngidi,72.0,4,5,34,0,0,0,0.0,0,DC
25,angkrish raghuvanshi,72.0,4,0,0,17,6,1,0.0,0,KKR
26,kagiso rabada,71.5,4,4,34,1,2,0,0.0,0,GT
27,bhuvneshwar kumar,71.0,4,4,35,1,0,1,0.0,0,RCB
28,ryan rickelton,70.0,4,0,0,9,12,1,0.0,0,MI
29,nandre burger,69.0,4,5,34,0,0,0,0.0,0,RR
30,harsh dubey,69.0,4,5,24,2,0,2,0.0,0,SRH
31,phil salt,68.5,4,0,0,11,8,4,0.0,0,RCB
32,xavier bartlett,68.0,4,4,29,0,1,3,0.0,0,PBKS
33,sanju samson,67.0,4,0,0,17,5,0,0.0,0,CSK
34,hardik pandya,67.0,3,2,17,11,1,2,0.0,0,MI
35,tim david,66.0,4,0,1,8,12,0,0.0,0,RCB
36,shreyas iyer,66.0,4,0,0,9,10,1,0.0,0,PBKS
37,sarfaraz khan,65.5,4,0,0,16,4,2,3.5,0,CSK
38,ashok sharma,64.5,4,4,34,0,0,1,0.0,0,GT
39,vaibhav arora,64.0,4,5,29,0,0,0,0.0,0,KKR
40,aiden markram,64.0,4,0,4,14,5,3,0.0,0,LSG
41,rohit sharma,63.5,4,0,0,13,8,0,0.0,0,MI
42,sai sudharsan,63.0,4,0,0,16,3,1,7.0,0,GT
43,mohammed siraj,61.5,4,3,38,0,0,1,0.0,0,GT
44,jaydev unadkat,61.5,4,4,23,0,0,3,0.0,0,SRH
45,heinrich klaasen,61.0,4,0,0,12,5,3,0.0,0,SRH
46,shivang kumar,60.5,3,4,21,2,0,0,3.5,0,SRH
47,washington sundar,60.0,4,1,7,11,3,2,0.0,0,GT
48,ayush mhatre,60.0,4,0,0,9,9,0,0.0,0,CSK
49,krunal pandya,59.5,4,5,22,0,0,1,0.0,0,RCB
50,pathum nissanka,59.0,4,0,0,17,4,1,0.0,0,DC
51,priyansh arya,58.0,3,0,0,8,10,0,0.0,0,PBKS
52,eshan malinga,58.0,4,3,24,0,0,1,10.5,0,SRH
53,vyshak vijaykumar,57.0,4,5,19,0,0,0,0.0,0,PBKS
54,rishabh pant,56.0,4,0,0,13,1,4,7.0,0,LSG
55,sandeep sharma,56.0,4,4,23,0,0,2,0.0,0,RR
56,cooper connolly,55.5,4,0,0,12,5,2,0.0,0,PBKS
57,shardul thakur,55.5,4,5,15,1,0,0,0.0,0,MI
58,k l rahul,55.5,4,0,0,13,5,1,0.0,0,DC
59,sherfane rutherford,54.0,4,0,0,4,11,1,0.0,0,MI
60,arshdeep singh,51.5,4,2,30,0,0,3,0.0,0,PBKS
61,t natarajan,50.0,4,4,19,0,0,0,0.0,0,DC
62,ajinkya rahane,50.0,4,0,0,8,7,1,0.0,0,KKR
63,suyash sharma,49.0,3,4,21,0,0,0,0.0,0,RCB
64,travis head,49.0,4,0,0,14,4,0,0.0,0,SRH
65,shivam dube,48.0,4,1,2,9,4,1,0.0,0,CSK
66,axar patel,47.5,4,3,24,0,0,1,0.0,0,DC
67,anukul roy,47.0,4,3,14,0,0,2,7.0,0,KKR
68,kartik tyagi,47.0,4,3,21,1,0,1,0.0,0,KKR
69,sunil narine,47.0,3,2,26,0,2,0,0.0,0,KKR
70,finn allen,46.5,4,0,0,13,4,0,0.0,0,KKR
71,marco jansen,46.5,4,2,24,0,1,2,0.0,0,PBKS
72,avesh khan,46.0,3,3,20,1,0,1,0.0,0,LSG
73,ravindra jadeja,46.0,4,3,14,2,0,1,3.5,0,RR
74,blessing muzarabani,44.0,2,4,13,0,0,0,0.0,0,KKR
75,kuldeep yadav,44.0,4,3,18,0,0,2,0.0,0,DC
76,m choudhary,43.5,4,0,0,5,8,0,0.0,0,LSG
77,digvesh singh,43.5,3,3,20,0,0,1,0.0,0,LSG
78,surya kumar yadav,43.5,4,0,0,11,3,1,0.0,0,MI
79,tristan stubbs,42.0,4,0,0,7,4,3,0.0,0,DC
80,romario shepherd,42.0,4,3,7,2,1,1,0.0,0,RCB
81,abhinandan singh,41.0,3,3,15,0,0,2,0.0,0,RCB
82,yuzvendra chahal,39.5,4,3,16,0,0,1,0.0,0,PBKS
83,mitchell santner,38.5,2,2,17,3,0,0,0.0,0,MI
84,jasprit bumrah,38.5,4,0,29,1,0,0,7.0,0,MI
85,noor ahmad,38.0,4,1,20,0,1,3,0.0,0,CSK
86,khaleel ahmed,38.0,4,1,31,0,0,0,0.0,0,CSK
87,brijesh sharma,37.5,2,3,14,0,0,1,0.0,0,RR
88,david miller,36.5,4,0,0,8,4,1,0.0,0,DC
89,m siddharth,35.5,2,2,19,0,0,1,0.0,0,LSG
90,rinku singh,33.5,4,0,0,8,1,4,0.0,0,KKR
91,cameron green,33.0,4,1,4,5,2,1,0.0,0,KKR
92,mitchell marsh,32.5,4,0,0,6,5,0,0.0,0,LSG
93,aniket verma,32.5,4,0,0,4,5,2,0.0,0,SRH
94,ayush badoni,32.5,4,0,0,9,2,0,0.0,0,LSG
95,shashank singh,32.0,4,2,7,3,1,0,0.0,0,PBKS
96,tilak varma,30.0,4,0,0,6,0,6,0.0,0,MI
97,riyan parag,29.0,4,1,3,2,4,0,0.0,0,RR
98,matt henry,29.0,3,2,10,1,0,1,0.0,0,CSK
99,tushar deshpande,26.5,2,2,10,0,0,1,0.0,0,RR
100,shimron hetmyer,25.5,4,0,0,1,2,5,3.5,0,RR
101,mohsin khan,24.5,1,1,15,0,0,1,0.0,0,LSG
102,josh hazlewood,24.5,1,2,8,0,0,1,0.0,0,RCB
103,glenn phillips,24.5,4,0,0,2,2,5,0.0,0,GT
104,am ghazanfar,24.0,2,2,10,0,0,0,0.0,0,MI
105,abdul samad,23.5,4,0,0,7,1,1,0.0,0,LSG
106,vipraj nigam,22.0,3,1,10,2,0,0,0.0,0,DC
107,naman dhir,22.0,4,0,0,6,2,0,0.0,0,MI
108,prashant veer,21.0,2,0,0,7,1,0,0.0,0,CSK
109,deepak chahar,20.5,2,1,11,1,0,0,0.0,0,MI
110,rovman powell,19.5,2,0,0,4,2,1,0.0,0,KKR
111,david payne,19.0,2,2,5,0,0,0,0.0,0,SRH
112,trent boult,19.0,3,1,12,0,0,0,0.0,0,MI
113,nitish rana,18.5,3,0,0,3,1,3,0.0,0,DC
114,corbin bosch,18.0,1,1,6,2,0,0,0.0,0,MI
115,rasikh dar,17.5,1,1,8,0,0,1,0.0,0,RCB
116,ruturaj gaikwad,17.0,4,0,0,4,1,0,3.5,0,CSK
117,rahul tewatia,16.0,4,0,0,3,1,2,0.0,0,GT
118,harshal patel,13.5,3,0,11,1,0,0,0.0,0,SRH
119,nicholas pooran,13.0,4,0,0,1,3,0,0.0,0,LSG
120,george linde,12.5,1,0,5,3,0,0,0.0,0,LSG
121,jitesh sharma,12.5,4,0,0,1,0,3,0.0,1,RCB
122,nehal wadhera,12.0,4,0,0,0,2,2,0.0,0,PBKS
123,varun chakaravarthy,11.0,2,0,6,0,0,2,0.0,0,KKR
124,kumar kushagra,10.0,1,0,0,3,0,1,0.0,0,GT
125,venkatesh iyer,9.5,1,0,0,1,2,0,0.0,0,RCB
126,ashutosh sharma,9.5,1,0,0,1,2,0,0.0,0,DC
127,marcus stoinis,9.5,4,0,1,2,0,0,3.5,0,PBKS
128,liam livingstone,8.5,1,0,0,0,1,2,0.0,0,SRH
129,shahrukh khan,8.5,4,0,0,1,1,1,0.0,0,GT
130,akeal hosein,8.5,1,0,6,0,0,1,0.0,0,CSK
131,mayank markande,7.5,3,0,5,0,0,1,0.0,0,MI
132,dewald brevis,7.5,1,0,0,0,0,3,0.0,0,CSK
133,ramandeep singh,7.5,4,0,0,1,0,2,0.0,0,KKR
134,salil arora,7.0,3,0,0,0,2,0,0.0,0,SRH
135,kartik sharma,7.0,3,0,0,0,2,0,0.0,0,CSK
136,anrich nortje,7.0,1,0,7,0,0,0,0.0,0,LSG
137,auqib nabi,6.5,1,0,4,1,0,0,0.0,0,DC
138,rahul chahar,6.5,1,0,4,0,0,1,0.0,0,CSK
139,navdeep saini,6.0,2,0,6,0,0,0,0.0,0,KKR
140,shahbaz ahamad,2.5,1,0,0,1,0,0,0.0,0,LSG
141,donovan ferreira,2.5,3,0,0,0,0,1,0.0,0,RR
