POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,anshul kamboj,164.5,6,13,53,2,2,1,0.0,0,CSK
2,prasidh krishna,137.0,5,11,48,0,0,1,3.5,0,GT
3,prince yadav,136.5,5,11,54,0,0,1,0.0,0,LSG
4,vaibhav sooryavanshi,136.0,6,0,0,24,20,0,0.0,0,RR
5,bhuvneshwar kumar,135.0,6,10,51,1,0,1,0.0,0,RCB
6,jofra archer,131.0,6,8,58,1,0,3,7.0,0,RR
7,jamie overton,128.5,5,8,30,8,4,1,0.0,0,CSK
8,jos buttler,128.0,5,0,0,24,9,8,10.5,0,GT
9,sunil narine,124.5,6,6,61,2,4,1,0.0,0,KKR
10,nitish kumar reddy,123.5,6,4,24,7,11,5,0.0,0,SRH
11,kartik tyagi,123.5,7,8,51,1,1,3,0.0,0,KKR
12,rajat patidar,123.0,6,0,0,12,22,4,0.0,0,RCB
13,ishan kishan,122.5,6,0,0,22,12,4,7.0,1,SRH
14,shubman gill,116.5,4,0,0,24,10,5,0.0,0,GT
15,ravi bishnoi,116.0,6,10,33,0,0,4,0.0,0,RR
16,virat kohli,114.0,6,0,0,28,8,4,0.0,0,RCB
17,prabhsimran singh,113.0,6,0,0,22,11,4,3.5,0,PBKS
18,cooper connolly,112.5,6,0,0,21,14,2,0.0,0,PBKS
19,eshan malinga,112.0,6,8,40,0,0,1,10.5,0,SRH
20,mohammad shami,112.0,6,5,66,1,1,2,0.0,0,LSG
21,priyansh arya,111.0,5,0,0,14,20,0,0.0,0,PBKS
22,kagiso rabada,111.0,5,7,47,1,2,1,0.0,0,GT
23,yashasvi jaiswal,110.5,6,0,0,23,12,2,0.0,0,RR
24,dhruv jurel,109.5,6,0,0,17,8,8,10.5,1,RR
25,abhishek sharma,107.5,6,0,2,15,17,1,0.0,0,SRH
26,heinrich klaasen,104.0,6,0,0,19,10,5,0.0,0,SRH
27,arshdeep singh,103.5,6,6,51,0,0,3,0.0,0,PBKS
28,vaibhav arora,102.0,7,7,47,0,0,1,3.5,0,KKR
29,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
30,krunal pandya,99.0,6,8,37,0,1,1,0.0,0,RCB
31,rashid khan,98.0,5,6,43,3,0,1,0.0,0,GT
32,shreyas iyer,98.0,6,0,0,14,14,2,0.0,0,PBKS
33,ayush mhatre,98.0,6,0,0,20,12,0,0.0,0,CSK
34,cameron green,96.5,7,1,12,16,7,4,0.0,0,KKR
35,lungisani ngidi,95.5,5,7,40,0,0,0,3.5,0,DC
36,mukesh kumar,95.5,5,5,46,0,0,3,7.0,0,DC
37,mohammed siraj,94.5,5,5,52,0,0,3,0.0,0,GT
38,sanju samson,93.5,6,0,0,21,9,1,0.0,0,CSK
39,angkrish raghuvanshi,93.0,7,0,0,23,7,2,0.0,0,KKR
40,nandre burger,92.0,6,6,50,0,0,0,0.0,0,RR
41,ashok sharma,89.5,5,6,45,0,0,1,0.0,0,GT
42,devdutt padikkal,88.0,6,0,0,17,7,6,0.0,0,RCB
43,aiden markram,88.0,6,0,4,17,9,4,0.0,0,LSG
44,k l rahul,86.5,5,0,0,19,7,2,3.5,0,DC
45,xavier bartlett,86.0,6,4,37,0,1,7,0.0,0,PBKS
46,tim david,85.5,6,0,1,12,14,1,0.0,0,RCB
47,shivang kumar,85.5,5,5,33,3,1,0,3.5,0,SRH
48,vyshak vijaykumar,85.0,6,6,33,0,0,0,7.0,0,PBKS
49,sarfaraz khan,85.0,6,0,0,20,6,3,3.5,0,CSK
50,ravindra jadeja,85.0,6,5,24,8,0,1,3.5,0,RR
51,marco jansen,81.5,6,5,38,0,1,2,0.0,0,PBKS
52,noor ahmad,79.5,6,4,35,0,1,4,0.0,0,CSK
