POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,abhishek sharma,179.5,7,0,2,25,27,3,0.0,0,SRH
2,anshul kamboj,164.5,6,13,53,2,2,1,0.0,0,CSK
3,kagiso rabada,155.0,6,10,57,3,2,3,0.0,0,GT
4,eshan malinga,153.0,7,12,50,0,0,1,10.5,0,SRH
5,prasidh krishna,148.0,6,12,52,0,0,1,3.5,0,GT
6,prince yadav,136.5,5,11,54,0,0,1,0.0,0,LSG
7,vaibhav sooryavanshi,136.0,6,0,0,24,20,0,0.0,0,RR
8,bhuvneshwar kumar,135.0,6,10,51,1,0,1,0.0,0,RCB
9,nitish kumar reddy,131.0,7,4,29,7,11,6,0.0,0,SRH
10,jofra archer,131.0,6,8,58,1,0,3,7.0,0,RR
11,ishan kishan,131.0,7,0,0,24,13,4,7.0,1,SRH
12,jos buttler,130.5,6,0,0,25,9,8,10.5,0,GT
13,jamie overton,128.5,5,8,30,8,4,1,0.0,0,CSK
14,sunil narine,124.5,6,6,61,2,4,1,0.0,0,KKR
15,shubman gill,124.0,5,0,0,27,10,5,0.0,0,GT
16,kartik tyagi,123.5,7,8,51,1,1,3,0.0,0,KKR
17,rajat patidar,123.0,6,0,0,12,22,4,0.0,0,RCB
18,heinrich klaasen,122.0,7,0,0,22,13,5,0.0,0,SRH
19,ravi bishnoi,116.0,6,10,33,0,0,4,0.0,0,RR
20,virat kohli,114.0,6,0,0,28,8,4,0.0,0,RCB
21,prabhsimran singh,113.0,6,0,0,22,11,4,3.5,0,PBKS
22,cooper connolly,112.5,6,0,0,21,14,2,0.0,0,PBKS
23,mohammed siraj,112.5,6,6,63,0,0,3,0.0,0,GT
24,mohammad shami,112.0,6,5,66,1,1,2,0.0,0,LSG
25,priyansh arya,111.0,5,0,0,14,20,0,0.0,0,PBKS
26,yashasvi jaiswal,110.5,6,0,0,23,12,2,0.0,0,RR
27,dhruv jurel,109.5,6,0,0,17,8,8,10.5,1,RR
28,arshdeep singh,103.5,6,6,51,0,0,3,0.0,0,PBKS
29,rashid khan,103.0,6,6,48,3,0,1,0.0,0,GT
30,harsh dubey,103.0,6,8,34,2,0,2,0.0,0,SRH
31,lungisani ngidi,102.5,6,7,47,0,0,0,3.5,0,DC
32,vaibhav arora,102.0,7,7,47,0,0,1,3.5,0,KKR
33,mukesh kumar,101.5,6,5,52,0,0,3,7.0,0,DC
34,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
35,k l rahul,99.5,6,0,0,20,10,2,3.5,0,DC
