POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,bhuvneshwar kumar,281.5,11,21,103,3,1,1,0.0,0,RCB
2,kagiso rabada,271.0,11,18,114,3,2,3,0.0,0,GT
3,abhishek sharma,268.0,11,0,6,43,36,5,0.0,0,SRH
4,anshul kamboj,264.5,11,19,102,2,2,2,0.5,0,CSK
5,vaibhav sooryavanshi,248.0,11,0,0,38,40,0,0.0,0,RR
6,jofra archer,243.5,11,15,111,2,0,5,1.0,0,RR
7,k l rahul,231.0,11,0,0,48,24,2,0.5,1,DC
8,prince yadav,229.0,10,16,101,0,0,4,0.0,0,LSG
9,sanju samson,226.0,11,0,0,45,23,4,0.5,1,CSK
10,jamie overton,223.0,10,14,60,13,6,1,0.0,0,CSK
11,eshan malinga,222.0,11,16,86,0,0,3,1.5,0,SRH
12,shubman gill,219.0,10,0,0,44,20,8,1.0,0,GT
13,rashid khan,218.5,11,15,90,4,0,3,0.0,0,GT
14,ishan kishan,216.0,11,0,0,41,22,6,1.0,1,SRH
15,sai sudharsan,213.5,11,0,0,44,20,3,1.0,0,GT
16,heinrich klaasen,210.5,11,0,0,36,23,10,0.0,0,SRH
17,ryan rickelton,208.5,9,0,0,25,33,7,0.0,0,MI
18,mohammed siraj,208.5,10,12,117,0,0,3,0.0,0,GT
19,jos buttler,204.5,11,0,0,35,18,15,1.5,0,GT
20,nitish kumar reddy,202.0,10,7,39,14,16,8,0.0,0,SRH
21,mohammad shami,200.0,11,9,114,2,3,3,0.0,0,LSG
22,krunal pandya,192.5,11,10,58,10,9,2,0.0,0,RCB
23,kartik tyagi,192.0,10,13,81,1,1,3,0.5,0,KKR
24,cooper connolly,191.5,10,0,0,31,26,4,0.0,0,PBKS
25,sunil narine,190.5,9,10,94,2,4,3,0.0,0,KKR
26,prabhsimran singh,185.0,10,0,0,39,17,5,0.5,0,PBKS
27,virat kohli,181.5,11,0,0,42,15,6,0.0,0,RCB
28,devdutt padikkal,181.5,11,0,0,31,20,10,0.0,0,RCB
29,dhruv jurel,181.0,11,0,0,30,14,14,1.5,1,RR
30,mitchell marsh,179.0,11,0,0,31,24,3,0.0,0,LSG
31,travis head,178.0,11,0,0,38,22,0,0.0,0,SRH
32,rajat patidar,176.5,11,0,0,18,30,7,0.0,0,RCB
33,noor ahmad,175.5,11,12,75,0,1,4,0.0,0,CSK
34,josh hazlewood,166.0,8,10,83,0,0,4,0.0,0,RCB
35,arshdeep singh,163.5,10,11,76,0,0,3,0.0,0,PBKS
36,ravindra jadeja,159.5,11,8,46,15,4,1,0.5,0,RR
37,shreyas iyer,159.0,10,0,0,22,22,6,0.0,0,PBKS
38,cameron green,158.5,10,4,28,16,12,7,0.0,0,KKR
39,yashasvi jaiswal,155.5,11,0,0,36,14,3,0.0,0,RR
40,jason holder,154.5,5,10,48,2,3,6,0.0,0,GT
41,vaibhav arora,154.5,9,11,69,0,0,2,0.5,0,KKR
42,nandre burger,150.5,10,9,85,0,0,1,0.0,0,RR
43,priyansh arya,149.5,9,0,0,21,26,0,0.0,0,PBKS
44,prasidh krishna,149.0,7,12,53,0,0,1,0.5,0,GT
45,am ghazanfar,149.0,9,13,58,0,0,0,0.0,0,MI
46,axar patel,147.5,11,10,65,3,0,2,0.0,0,DC
47,donovan ferreira,143.5,10,1,2,21,16,8,0.0,0,RR
48,varun chakaravarthy,142.0,8,10,61,0,0,2,0.0,0,KKR
49,mohsin khan,142.0,5,10,57,0,0,2,0.0,0,LSG
50,naman dhir,140.5,11,0,0,30,12,7,0.0,0,MI
51,pathum nissanka,135.5,10,0,0,33,12,2,0.0,0,DC
52,ravi bishnoi,134.5,9,11,42,0,0,5,0.0,0,RR
53,anukul roy,132.0,10,8,42,2,2,6,1.0,0,KKR
54,washington sundar,130.5,11,1,14,25,9,5,0.0,0,GT
55,marco jansen,130.5,10,6,63,1,3,5,0.0,0,PBKS
56,tilak varma,130.0,11,0,0,24,10,10,0.0,0,MI
57,rishabh pant,130.0,11,0,0,25,9,9,1.5,0,LSG
58,nitish rana,130.0,9,0,7,27,10,3,1.0,0,DC
59,ruturaj gaikwad,129.0,11,0,0,26,10,5,1.5,0,CSK
60,sakib hussain,127.5,7,10,52,0,0,1,0.0,0,SRH
61,lungisani ngidi,126.5,8,8,64,0,0,0,0.5,0,DC
62,angkrish raghuvanshi,126.5,10,0,0,29,9,3,0.5,1,KKR
63,shivang kumar,125.5,9,8,52,3,1,0,0.5,0,SRH
64,jasprit bumrah,124.0,11,3,91,1,0,1,1.0,0,MI
65,vyshak vijaykumar,121.5,9,9,46,0,0,1,1.0,0,PBKS
66,hardik pandya,121.0,8,4,34,16,4,2,0.0,0,MI
67,brijesh sharma,118.5,8,9,53,0,0,1,0.0,0,RR
68,rohit sharma,118.0,6,0,0,21,17,0,0.0,0,MI
69,finn allen,115.5,7,0,0,21,16,0,0.0,0,KKR
70,rinku singh,115.0,10,0,0,22,9,9,0.0,0,KKR
71,riyan parag,114.0,10,2,5,16,12,4,0.0,0,RR
72,aiden markram,114.0,11,0,8,20,11,7,0.0,0,LSG
73,tim david,113.0,11,0,1,16,19,1,0.0,0,RCB
