POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,anshul kamboj,186.0,7,14,65,2,2,2,0.0,0,CSK
2,abhishek sharma,179.5,7,0,2,25,27,3,0.0,0,SRH
3,jofra archer,172.0,7,11,75,1,0,3,7.0,0,RR
4,prince yadav,166.0,6,13,67,0,0,2,0.0,0,LSG
5,kagiso rabada,162.0,7,10,64,3,2,3,0.0,0,GT
6,eshan malinga,153.0,7,12,50,0,0,1,10.5,0,SRH
7,sanju samson,151.5,7,0,0,31,15,3,0.0,0,CSK
8,virat kohli,151.0,7,0,0,36,12,4,0.0,0,RCB
9,prasidh krishna,149.0,7,12,53,0,0,1,3.5,0,GT
10,jamie overton,149.0,6,9,35,10,5,1,0.0,0,CSK
11,bhuvneshwar kumar,148.0,7,11,57,1,0,1,0.0,0,RCB
12,mohammad shami,144.5,7,7,81,1,2,2,0.0,0,LSG
13,vaibhav sooryavanshi,141.0,7,0,0,26,20,0,0.0,0,RR
14,jos buttler,139.0,7,0,0,27,10,8,10.5,0,GT
15,shubman gill,132.5,6,0,0,29,11,5,0.0,0,GT
16,nitish kumar reddy,131.0,7,4,29,7,11,6,0.0,0,SRH
17,ishan kishan,131.0,7,0,0,24,13,4,7.0,1,SRH
18,ravi bishnoi,129.0,7,11,39,0,0,4,0.0,0,RR
19,mohammed siraj,128.5,7,7,72,0,0,3,0.0,0,GT
20,rajat patidar,126.5,7,0,0,12,23,4,0.0,0,RCB
21,sai sudharsan,124.5,7,0,0,28,10,1,7.0,0,GT
22,sunil narine,124.5,6,6,61,2,4,1,0.0,0,KKR
23,rashid khan,124.0,7,8,55,3,0,1,0.0,0,GT
24,kartik tyagi,123.5,7,8,51,1,1,3,0.0,0,KKR
25,heinrich klaasen,122.0,7,0,0,22,13,5,0.0,0,SRH
26,nandre burger,121.0,7,8,65,0,0,0,0.0,0,RR
27,yashasvi jaiswal,120.5,7,0,0,27,12,2,0.0,0,RR
28,devdutt padikkal,119.5,7,0,0,19,13,7,0.0,0,RCB
29,dhruv jurel,117.0,7,0,0,17,8,11,10.5,1,RR
30,krunal pandya,114.0,7,8,41,3,2,1,0.0,0,RCB
31,prabhsimran singh,113.0,6,0,0,22,11,4,3.5,0,PBKS
32,cooper connolly,112.5,6,0,0,21,14,2,0.0,0,PBKS
33,priyansh arya,111.0,5,0,0,14,20,0,0.0,0,PBKS
34,ravindra jadeja,109.5,7,6,33,10,1,1,3.5,0,RR
35,arshdeep singh,103.5,6,6,51,0,0,3,0.0,0,PBKS
36,harsh dubey,103.0,6,8,34,2,0,2,0.0,0,SRH
37,noor ahmad,102.5,7,6,44,0,1,4,0.0,0,CSK
38,lungisani ngidi,102.5,6,7,47,0,0,0,3.5,0,DC
39,vaibhav arora,102.0,7,7,47,0,0,1,3.5,0,KKR
40,tilak varma,101.5,7,0,0,21,7,7,0.0,0,MI
41,mukesh kumar,101.5,6,5,52,0,0,3,7.0,0,DC
42,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
43,k l rahul,99.5,6,0,0,20,10,2,3.5,0,DC
44,shreyas iyer,98.0,6,0,0,14,14,2,0.0,0,PBKS
45,ayush mhatre,98.0,6,0,0,20,12,0,0.0,0,CSK
46,ashok sharma,97.5,6,6,53,0,0,1,0.0,0,GT
47,cameron green,96.5,7,1,12,16,7,4,0.0,0,KKR
48,sarfaraz khan,95.0,7,0,0,23,6,4,3.5,0,CSK
49,angkrish raghuvanshi,93.0,7,0,0,23,7,2,0.0,0,KKR
50,sameer rizvi,91.5,6,0,0,15,13,1,0.0,0,DC
51,mitchell marsh,91.5,7,0,0,18,11,2,0.0,0,LSG
52,am ghazanfar,91.0,5,8,35,0,0,0,0.0,0,MI
53,tim david,89.0,7,0,1,12,15,1,0.0,0,RCB
54,hardik pandya,89.0,6,3,26,12,2,2,0.0,0,MI
55,aiden markram,88.0,7,0,4,17,9,4,0.0,0,LSG
56,shivang kumar,87.5,6,5,35,3,1,0,3.5,0,SRH
57,xavier bartlett,86.0,6,4,37,0,1,7,0.0,0,PBKS
