POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
148,liam livingstone,16.0,2,0,0,0,1,5,0.0,0,SRH
149,matthew short,15.0,2,0,5,3,0,1,0.0,0,CSK
150,himmat singh,14.5,3,0,0,2,2,1,0.0,0,LSG
151,ashutosh sharma,14.5,2,0,0,3,2,0,0.0,0,DC
152,krish bhagat,13.5,2,0,11,0,0,1,0.0,0,MI
153,harshal patel,13.5,3,0,11,1,0,0,0.0,0,SRH
154,auqib nabi,12.5,3,0,10,1,0,0,0.0,0,DC
155,kumar kushagra,10.0,1,0,0,3,0,1,0.0,0,GT
156,venkatesh iyer,9.5,1,0,0,1,2,0,0.0,0,RCB
157,mayank yadav,8.5,1,0,6,1,0,0,0.0,0,LSG
158,harpreet brar,8.0,1,0,8,0,0,0,0.0,0,PBKS
159,mayank markande,7.5,3,0,5,0,0,1,0.0,0,MI
160,abishek porel,7.5,1,0,0,3,0,0,0.0,0,DC
161,anrich nortje,7.0,1,0,7,0,0,0,0.0,0,LSG
162,lockie ferguson,7.0,1,0,7,0,0,0,0.0,0,PBKS
163,rahul chahar,6.5,1,0,4,0,0,1,0.0,0,CSK
164,navdeep saini,6.0,2,0,6,0,0,0,0.0,0,KKR
165,dushmantha chameera,5.0,1,0,5,0,0,0,0.0,0,DC
166,suryansh shedge,5.0,1,0,0,0,0,2,0.0,0,PBKS
167,karun nair,5.0,1,0,0,1,0,1,0.0,0,DC
168,shahbaz ahamad,2.5,1,0,0,1,0,0,0.0,0,LSG
169,urvil patel,2.5,1,0,0,1,0,0,0.0,0,CSK
