POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,ishan kishan,53.0,2,0,0,11,5,2,0.0,0,SRH
2,jaydev unadkat,51.5,2,4,13,0,0,3,0.0,0,SRH
3,angkrish raghuvanshi,50.0,2,0,0,12,4,0,0.0,0,KKR
4,blessing muzarabani,44.0,2,4,13,0,0,0,0.0,0,KKR
5,devdutt padikkal,42.0,1,0,0,7,4,3,0.0,0,RCB
6,ryan rickelton,41.0,1,0,0,4,8,0,0.0,0,MI
7,finn allen,39.0,2,0,0,10,4,0,0.0,0,KKR
8,rohit sharma,39.0,1,0,0,6,6,0,0.0,0,MI
9,vaibhav arora,38.0,2,3,17,0,0,0,0.0,0,KKR
10,nitish kumar reddy,37.5,2,2,10,4,1,0,0.0,0,SRH
11,prasidh krishna,37.5,1,3,11,0,0,1,0.0,0,GT
12,jacob duffy,37.0,1,3,13,0,0,0,0.0,0,RCB
13,eshan malinga,36.0,2,2,9,0,0,1,10.5,0,SRH
14,cooper connolly,35.5,1,0,0,5,5,1,0.0,0,PBKS
15,virat kohli,35.5,1,0,0,5,5,1,0.0,0,RCB
16,lungi ngidi,33.0,1,3,9,0,0,0,0.0,0,DC
17,vyshak vijaykumar,32.0,1,3,8,0,0,0,0.0,0,PBKS
18,t natarajan,32.0,1,3,8,0,0,0,0.0,0,DC
19,kartik tyagi,31.5,2,2,15,1,0,0,0.0,0,KKR
20,shardul thakur,31.0,1,3,7,0,0,0,0.0,0,MI
21,jofra archer,31.0,1,2,17,0,0,0,0.0,0,RR
22,harsh dubey,31.0,2,2,7,2,0,2,0.0,0,SRH
23,rinku singh,31.0,2,0,0,8,1,3,0.0,0,KKR
24,vaibhav sooryavanshi,30.5,1,0,0,4,5,0,0.0,0,RR
25,travis head,30.5,2,0,0,8,3,0,0.0,0,SRH
26,ajinkya rahane,30.5,2,0,0,3,5,1,0.0,0,KKR
27,heinrich klaasen,30.0,2,0,0,6,2,2,0.0,0,SRH
28,sameer rizvi,29.5,1,0,0,5,4,0,0.0,0,DC
29,romario shepherd,29.0,1,3,5,0,0,0,0.0,0,RCB
30,abhishek sharma,28.5,2,0,1,4,5,0,0.0,0,SRH
31,nandre burger,28.0,1,2,14,0,0,0,0.0,0,RR
32,kuldeep yadav,27.0,1,2,8,0,0,2,0.0,0,DC
33,sunil narine,26.0,2,1,12,0,2,0,0.0,0,KKR
34,ravindra jadeja,25.0,1,2,11,0,0,0,0.0,0,RR
35,mohsin khan,24.5,1,1,15,0,0,1,0.0,0,LSG
36,anshul kamboj,24.5,1,2,8,1,0,0,0.0,0,CSK
37,prince yadav,24.0,1,2,10,0,0,0,0.0,0,LSG
38,aniket verma,24.0,2,0,0,3,4,1,0.0,0,SRH
39,hardik pandya,24.0,1,1,7,3,0,1,0.0,0,MI
40,yuzvendra chahal,23.0,1,2,9,0,0,0,0.0,0,PBKS
41,anukul roy,21.5,2,1,5,0,0,1,7.0,0,KKR
42,marco jansen,21.0,1,1,8,0,1,1,0.0,0,PBKS
43,washington sundar,20.5,1,1,6,2,0,1,0.0,0,GT
44,mukesh kumar,20.5,1,0,11,0,0,1,7.0,0,DC
45,shubman gill,20.0,1,0,0,6,0,2,0.0,0,GT
46,ravi bishnoi,20.0,1,1,8,0,0,2,0.0,0,RR
47,rashid khan,19.5,1,1,10,0,0,1,0.0,0,GT
48,david payne,19.0,2,2,5,0,0,0,0.0,0,SRH
49,mohammed shami,19.0,1,1,12,0,0,0,0.0,0,LSG
