Player,Pts
vaibhav suryavanshi,1598
shubman gill,1571
abhishek sharma,1543
ishan kishan,1502
heinrich klaasen,1497
sai sudharsan,1482
jos buttler,1404
kl rahul,1366
mitchell marsh,1365
virat kohli,1343
prabhsimran singh,1309
shreyas iyer,1291
ryan rickelton,1260
sanju samson,1230
dhruv jurel,1186
cooper connolly,1186
devdutt padikkal,1178
rajat patidar,1051
angkrish raghuvanshi,1014
bhuvneshwar kumar,952
priyansh arya,948
tilak varma,933
travis head,911
cameron green,911
finn allen,898
yashasvi jaiswal,896
nitish kumar reddy,857
kagiso rabada,857
sunil narine,847
rinku singh,788
rishabh pant,764
washington sundar,752
jamie overton,742
rashid khan,739
jason holder,738
ruturaj gaikwad,723
donovan ferreira,712
naman dhir,710
krunal pandya,707
jofra archer,681
riyan parag,675
anshul kamboj,671
tim david,670
axar patel,665
josh inglis,660
rohit sharma,655
ravindra jadeja,654
eshan malinga,639
mohammed siraj,637
pathum nissanka,636
shivam dube,621
kartik tyagi,600
tristan stubbs,591
kartik sharma,585
ajinkya rahane,572
prince yadav,567
sameer rizvi,557
nicholas pooran,540
phil salt,539
noor ahmad,531
nitish rana,515
marcus stoinis,514
aiden markram,486
dewald brevis,468
corbin bosch,463
ayush mhatre,458
sakib hussain,457
mohsin khan,453
mohammed shami,441
david miller,438
prasidh krishna,431
suryakumar yadav,422
shashank singh,418
ayush badoni,416
sarfaraz khan,416
suryansh shedge,409
urvil patel,397
mukul choudhary,392
anukul roy,392
josh hazlewood,390
rasikh salam,389
arshdeep singh,387
venkatesh iyer,385
rovman powell,383
am ghazanfar,379
ashutosh sharma,379
quinton de kock,375
akeal hosein,368
pat cummins,365
jitesh sharma,357
varun chakravarthy,357
hardik pandya,354
lungi ngidi,354
yuzvendra chahal,347
marco jansen,346
ravi bishnoi,320
praful hinge,292
mukesh choudhary,291
sherfane rutherford,290
salil arora,283
romario shepherd,276
brijesh sharma,276
will jacks,275
vaibhav arora,272
mitchell starc,264
suyash sharma,263
shivang kumar,260
harsh dubey,255
jasprit bumrah,250
aniket verma,246
glenn phillips,233
abdul samad,222
nandre burger,219
mitchell santner,217
ramandeep singh,213
jacob bethell,207
vijaykumar vyshak,207
xavier bartlett,204
shahbaz ahmed,199
shardul thakur,198
azmatullah omarzai,195
rahul tewatia,193
shimron hetmyer,191
yash raj punja,187
madhav tiwari,181
ashwani kumar,178
gurjapneet singh,178
manimaran siddharth,176
deepak chahar,173
himmat singh,163
abishek porel,159
shubham dubey,152
arshad khan,152
prashant veer,150
jaydev unadkat,132
jacob duffy,129
digvesh rathi,129
nehal wadhera,126
avesh khan,126
manish pandey,125
kuldeep yadav,124
ashok sharma,120
shahrukh khan,120
akash singh,116
tushar deshpande,115
nishant sindhu,115
matthew short,112
blessing muzarabani,111
harpreet brar,108
mukesh kumar,108
sandeep sharma,98
saurabh dubey,89
khaleel ahmed,79
dasun shanaka,78
raj bawa,75
liam livingstone,73
manav suthar,63
t natarajan,60
tim seifert,58
abhinandan singh,57
akshat raghuwanshi,56
raghu sharma,50
ramakrishna ghosh,48
arjun tendulkar,44
kumar kushagra,44
sahil parakh,37
vishnu vinod,33
spencer johnson,30
yash thakur,28
vipraj nigam,27
kyle jamieson,23
david payne,21
karun nair,21
ben dwarshuis,16
auqib nabi,13
matt henry,12
robin minz,11
ravi singh,9
trent boult,8
sai kishore,8
matheesha pathirana,7
kulwant khejroliya,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
pyla avinash,0
musheer khan,0
mitchell owen,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
umran malik,0
harshit rana,0
prithvi raj,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
tripurana vijay,-3
rahul chahar,-4
arshin kulkarni,-5
lhuan-dre pretorius,-12
navdeep saini,-13
adam milne,-15
sushant mishra,-18
danish malewar,-19
anrich nortje,-26
harshal patel,-37
mayank markande,-39
mayank yadav,-43
lockie ferguson,-45
