Player,Pts
shubman gill,1392
abhishek sharma,1308
sai sudharsan,1287
kl rahul,1257
heinrich klaasen,1254
jos buttler,1225
ryan rickelton,1223
vaibhav suryavanshi,1213
sanju samson,1162
virat kohli,1160
ishan kishan,1148
mitchell marsh,1135
prabhsimran singh,1116
cooper connolly,1064
devdutt padikkal,1005
angkrish raghuvanshi,999
shreyas iyer,984
priyansh arya,974
dhruv jurel,941
rajat patidar,937
bhuvneshwar kumar,924
tilak varma,916
finn allen,882
cameron green,828
travis head,818
nitish kumar reddy,774
sunil narine,763
rinku singh,754
kagiso rabada,748
yashasvi jaiswal,746
jamie overton,742
washington sundar,734
naman dhir,731
jason holder,723
donovan ferreira,683
ruturaj gaikwad,655
ravindra jadeja,654
rashid khan,650
pathum nissanka,636
rishabh pant,635
rohit sharma,630
krunal pandya,625
anshul kamboj,623
prince yadav,587
jofra archer,583
tristan stubbs,573
sameer rizvi,557
tim david,547
kartik tyagi,545
axar patel,545
mohammed siraj,543
riyan parag,541
phil salt,539
ajinkya rahane,539
noor ahmad,538
nitish rana,515
eshan malinga,513
nicholas pooran,508
aiden markram,486
kartik sharma,483
ayush mhatre,458
shivam dube,448
marcus stoinis,443
mohsin khan,435
sarfaraz khan,416
arshdeep singh,414
prasidh krishna,408
david miller,405
mohammed shami,400
josh hazlewood,399
mukul choudhary,392
suryakumar yadav,384
quinton de kock,375
dewald brevis,364
sakib hussain,358
anukul roy,350
josh inglis,349
urvil patel,344
jitesh sharma,342
ashutosh sharma,328
varun chakravarthy,325
akeal hosein,322
suryansh shedge,321
ravi bishnoi,320
am ghazanfar,313
ayush badoni,309
rovman powell,308
hardik pandya,304
sherfane rutherford,290
corbin bosch,288
pat cummins,274
vaibhav arora,272
shivang kumar,269
marco jansen,269
rasikh salam,267
lungi ngidi,267
praful hinge,266
yuzvendra chahal,266
salil arora,260
suyash sharma,257
shashank singh,256
harsh dubey,255
romario shepherd,251
brijesh sharma,249
aniket verma,246
will jacks,240
glenn phillips,233
nandre burger,219
mitchell santner,217
ramandeep singh,213
rahul tewatia,213
vijaykumar vyshak,206
shahbaz ahmed,206
xavier bartlett,204
jasprit bumrah,199
shardul thakur,198
mukesh choudhary,195
shimron hetmyer,191
ashwani kumar,178
manimaran siddharth,176
jacob bethell,171
gurjapneet singh,169
himmat singh,163
arshad khan,162
digvesh rathi,152
azmatullah omarzai,151
shubham dubey,149
mukesh kumar,144
prashant veer,133
jaydev unadkat,132
akash singh,130
jacob duffy,129
nehal wadhera,126
avesh khan,126
sandeep sharma,124
mitchell starc,124
kuldeep yadav,124
ashok sharma,120
shahrukh khan,120
deepak chahar,119
abdul samad,119
yash raj punja,117
tushar deshpande,115
nishant sindhu,115
blessing muzarabani,111
madhav tiwari,106
venkatesh iyer,81
khaleel ahmed,79
raj bawa,75
liam livingstone,73
manav suthar,63
t natarajan,60
raghu sharma,58
tim seifert,58
abhinandan singh,57
akshat raghuwanshi,56
ramakrishna ghosh,48
matthew short,47
kumar kushagra,44
abishek porel,43
vishnu vinod,33
manish pandey,30
dasun shanaka,28
saurabh dubey,28
yash thakur,28
vipraj nigam,27
harpreet brar,26
sahil parakh,25
kyle jamieson,23
david payne,21
karun nair,21
spencer johnson,20
ben dwarshuis,16
arshin kulkarni,15
auqib nabi,13
matt henry,12
robin minz,11
trent boult,8
sai kishore,8
matheesha pathirana,7
kulwant khejroliya,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
ravi singh,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
adam milne,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
pyla avinash,0
musheer khan,0
mitchell owen,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
arjun tendulkar,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
umran malik,0
harshit rana,0
prithvi raj,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
tripurana vijay,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
rahul chahar,-4
navdeep saini,-13
lockie ferguson,-18
danish malewar,-19
lhuan-dre pretorius,-21
mayank yadav,-21
anrich nortje,-26
harshal patel,-33
mayank markande,-39
