Player,Pts
abhishek sharma,1023
vaibhav suryavanshi,991
kl rahul,969
ishan kishan,872
heinrich klaasen,823
prabhsimran singh,799
virat kohli,789
sanju samson,779
dhruv jurel,754
shreyas iyer,724
priyansh arya,706
shubman gill,700
rajat patidar,674
jos buttler,656
devdutt padikkal,608
nitish kumar reddy,604
yashasvi jaiswal,589
cooper connolly,577
jofra archer,561
phil salt,539
sai sudharsan,538
anshul kamboj,529
jamie overton,528
tilak varma,519
ravindra jadeja,490
sameer rizvi,472
eshan malinga,458
ayush mhatre,458
prince yadav,450
angkrish raghuvanshi,448
tim david,443
tristan stubbs,436
sarfaraz khan,436
mitchell marsh,429
bhuvneshwar kumar,412
nitish rana,410
rishabh pant,384
naman dhir,379
quinton de kock,375
washington sundar,369
cameron green,363
travis head,361
donovan ferreira,360
sunil narine,360
kagiso rabada,355
ryan rickelton,342
prasidh krishna,342
mukul choudhary,340
rashid khan,340
ravi bishnoi,336
aiden markram,335
mohammed shami,332
rinku singh,332
pathum nissanka,332
rohit sharma,319
krunal pandya,304
ajinkya rahane,304
suryakumar yadav,299
harsh dubey,294
shivam dube,290
mohammed siraj,286
kartik tyagi,282
shashank singh,267
sherfane rutherford,266
axar patel,266
rovman powell,263
noor ahmad,259
akeal hosein,256
ayush badoni,254
am ghazanfar,249
aniket verma,240
david miller,239
nandre burger,236
riyan parag,235
sakib hussain,233
glenn phillips,233
ruturaj gaikwad,233
brijesh sharma,230
mitchell santner,217
lungi ngidi,217
ashwani kumar,214
arshdeep singh,212
dewald brevis,211
ramandeep singh,209
anukul roy,208
mohsin khan,204
hardik pandya,199
finn allen,199
rasikh salam,198
shivang kumar,192
marco jansen,190
jitesh sharma,185
shimron hetmyer,184
varun chakravarthy,173
kuldeep yadav,173
josh hazlewood,171
xavier bartlett,164
jasprit bumrah,159
salil arora,149
nehal wadhera,149
jacob duffy,147
suyash sharma,147
avesh khan,144
manimaran siddharth,143
gurjapneet singh,143
praful hinge,141
digvesh rathi,141
nicholas pooran,140
vaibhav arora,139
jaydev unadkat,132
vijaykumar vyshak,129
sandeep sharma,124
ashok sharma,120
mukesh kumar,116
blessing muzarabani,111
tushar deshpande,107
rahul tewatia,105
mukesh choudhary,105
yuzvendra chahal,104
marcus stoinis,103
abdul samad,101
shahrukh khan,96
prashant veer,92
t natarajan,87
jason holder,79
khaleel ahmed,79
romario shepherd,78
liam livingstone,73
shardul thakur,72
venkatesh iyer,69
ashutosh sharma,68
kartik sharma,66
tim seifert,64
abhinandan singh,57
yash raj punja,52
vipraj nigam,52
pat cummins,49
matthew short,47
kumar kushagra,44
shubham dubey,38
manav suthar,38
corbin bosch,35
jacob bethell,25
david payne,21
himmat singh,19
deepak chahar,14
matt henry,12
shahbaz ahmed,6
karun nair,6
kulwant khejroliya,0
dasun shanaka,0
spencer johnson,0
saurabh dubey,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
ravi singh,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
adam milne,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
ben dwarshuis,0
yash thakur,0
vishnu vinod,0
suryansh shedge,0
pyla avinash,0
musheer khan,0
mitchell owen,0
lockie ferguson,0
harpreet brar,0
azmatullah omarzai,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
raj bawa,0
will jacks,0
robin minz,0
raghu sharma,0
akshat raghuwanshi,0
naman tiwari,0
wanindu hasaranga,0
josh inglis,0
matthew breetzke,0
arshin kulkarni,0
arjun tendulkar,0
akash singh,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
matheesha pathirana,0
umran malik,0
manish pandey,0
harshit rana,0
prithvi raj,0
sai kishore,0
arshad khan,0
gurnoor brar,0
luke wood,0
tom banton,0
nishant sindhu,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
abishek porel,0
sahil parakh,0
prithvi shaw,0
ben duckett,0
kyle jamieson,0
tripurana vijay,0
mitchell starc,0
madhav tiwari,0
dushmantha chameera,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
urvil patel,0
shreyas gopal,0
ramakrishna ghosh,0
nathan ellis,0
ms dhoni,0
rahul chahar,-4
navdeep saini,-13
danish malewar,-19
lhuan-dre pretorius,-21
mayank yadav,-23
anrich nortje,-26
trent boult,-27
mayank markande,-39
auqib nabi,-42
harshal patel,-43
