Player,Pts
kl rahul,1199
abhishek sharma,1182
vaibhav suryavanshi,1120
heinrich klaasen,1058
ryan rickelton,1058
sanju samson,1039
jos buttler,974
ishan kishan,950
shubman gill,932
prabhsimran singh,931
virat kohli,921
sai sudharsan,913
dhruv jurel,879
devdutt padikkal,834
shreyas iyer,820
priyansh arya,786
travis head,747
yashasvi jaiswal,728
rajat patidar,706
bhuvneshwar kumar,688
cooper connolly,665
donovan ferreira,662
jamie overton,652
rinku singh,651
nitish kumar reddy,640
anshul kamboj,634
naman dhir,605
kagiso rabada,600
jofra archer,592
angkrish raghuvanshi,584
sunil narine,563
tristan stubbs,561
sameer rizvi,556
ruturaj gaikwad,548
ravindra jadeja,547
tilak varma,547
mitchell marsh,546
riyan parag,541
rohit sharma,540
phil salt,539
cameron green,526
pathum nissanka,515
nitish rana,507
rishabh pant,506
rashid khan,493
eshan malinga,492
washington sundar,487
prince yadav,485
aiden markram,468
tim david,461
ayush mhatre,458
mohammed siraj,447
noor ahmad,446
jason holder,445
mohsin khan,435
sarfaraz khan,416
ajinkya rahane,414
suryakumar yadav,404
marcus stoinis,376
quinton de kock,375
mohammed shami,372
kartik tyagi,368
krunal pandya,356
mukul choudhary,356
akeal hosein,343
prasidh krishna,342
axar patel,340
nicholas pooran,333
shivam dube,333
varun chakravarthy,324
ravi bishnoi,320
josh hazlewood,318
ayush badoni,309
hardik pandya,304
am ghazanfar,300
kartik sharma,297
rovman powell,293
sakib hussain,287
anukul roy,283
arshdeep singh,275
finn allen,274
harsh dubey,272
suyash sharma,271
vaibhav arora,270
dewald brevis,270
shashank singh,267
sherfane rutherford,266
david miller,263
jitesh sharma,260
marco jansen,259
lungi ngidi,257
aniket verma,246
salil arora,235
glenn phillips,233
shivang kumar,229
rasikh salam,219
nandre burger,219
mitchell santner,217
ramandeep singh,213
brijesh sharma,210
vijaykumar vyshak,210
ashutosh sharma,190
yuzvendra chahal,187
shimron hetmyer,184
suryansh shedge,181
gurjapneet singh,180
ashwani kumar,178
manimaran siddharth,176
xavier bartlett,174
praful hinge,168
romario shepherd,168
arshad khan,168
rahul tewatia,161
mukesh choudhary,161
jasprit bumrah,156
kuldeep yadav,148
jacob duffy,147
will jacks,134
jaydev unadkat,132
himmat singh,132
tushar deshpande,128
shubham dubey,128
nehal wadhera,126
sandeep sharma,124
digvesh rathi,123
ashok sharma,120
shahrukh khan,120
urvil patel,117
mukesh kumar,116
mitchell starc,115
blessing muzarabani,111
avesh khan,104
abdul samad,101
yash raj punja,95
corbin bosch,85
venkatesh iyer,81
prashant veer,80
khaleel ahmed,79
jacob bethell,76
liam livingstone,73
shardul thakur,72
pat cummins,70
raghu sharma,66
manav suthar,63
t natarajan,60
tim seifert,58
abhinandan singh,57
vipraj nigam,52
ramakrishna ghosh,48
josh inglis,47
matthew short,47
kumar kushagra,44
nishant sindhu,41
abishek porel,37
harpreet brar,26
kyle jamieson,23
akshat raghuwanshi,22
david payne,21
karun nair,21
matt henry,12
robin minz,11
trent boult,8
shahbaz ahmed,6
kulwant khejroliya,0
dasun shanaka,0
spencer johnson,0
saurabh dubey,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
ravi singh,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
adam milne,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
ben dwarshuis,0
yash thakur,0
vishnu vinod,0
pyla avinash,0
musheer khan,0
mitchell owen,0
azmatullah omarzai,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
raj bawa,0
deepak chahar,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
arshin kulkarni,0
arjun tendulkar,0
akash singh,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
matheesha pathirana,0
umran malik,0
manish pandey,0
harshit rana,0
prithvi raj,0
sai kishore,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
tripurana vijay,0
madhav tiwari,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
rahul chahar,-4
navdeep saini,-13
danish malewar,-19
lhuan-dre pretorius,-21
sahil parakh,-21
mayank yadav,-23
anrich nortje,-26
harshal patel,-33
lockie ferguson,-33
mayank markande,-39
auqib nabi,-42
