Player,Pts
abhishek sharma,1308
kl rahul,1257
heinrich klaasen,1254
vaibhav suryavanshi,1213
shubman gill,1179
sai sudharsan,1154
ishan kishan,1148
sanju samson,1139
ryan rickelton,1104
jos buttler,1098
cooper connolly,1038
prabhsimran singh,976
shreyas iyer,975
dhruv jurel,941
priyansh arya,923
rajat patidar,917
devdutt padikkal,915
virat kohli,895
bhuvneshwar kumar,877
mitchell marsh,866
travis head,818
nitish kumar reddy,774
kagiso rabada,758
yashasvi jaiswal,746
jamie overton,742
washington sundar,734
jason holder,732
naman dhir,713
tilak varma,703
anshul kamboj,685
donovan ferreira,683
rashid khan,669
ravindra jadeja,654
sunil narine,653
rinku singh,651
pathum nissanka,636
rishabh pant,635
krunal pandya,634
ruturaj gaikwad,632
angkrish raghuvanshi,619
cameron green,617
prince yadav,610
rohit sharma,594
jofra archer,583
tristan stubbs,573
finn allen,565
sameer rizvi,557
tim david,545
axar patel,545
riyan parag,541
mohammed siraj,540
phil salt,539
nitish rana,515
eshan malinga,513
noor ahmad,503
aiden markram,471
kartik tyagi,465
ayush mhatre,458
ajinkya rahane,454
marcus stoinis,443
mohsin khan,435
sarfaraz khan,416
nicholas pooran,413
prasidh krishna,408
david miller,405
suryakumar yadav,384
arshdeep singh,382
mohammed shami,382
quinton de kock,375
shivam dube,370
anukul roy,365
sakib hussain,358
josh hazlewood,356
mukul choudhary,356
varun chakravarthy,344
ashutosh sharma,328
akeal hosein,322
urvil patel,322
ravi bishnoi,320
kartik sharma,318
am ghazanfar,313
jitesh sharma,312
dewald brevis,310
ayush badoni,309
rovman powell,308
suryansh shedge,304
hardik pandya,304
josh inglis,294
vaibhav arora,290
marco jansen,276
pat cummins,274
shivang kumar,269
lungi ngidi,267
praful hinge,266
sherfane rutherford,266
salil arora,260
corbin bosch,260
suyash sharma,257
harsh dubey,255
shashank singh,254
romario shepherd,251
brijesh sharma,249
aniket verma,246
rasikh salam,240
yuzvendra chahal,234
glenn phillips,233
nandre burger,219
mitchell santner,217
ramandeep singh,213
rahul tewatia,212
vijaykumar vyshak,206
shahbaz ahmed,197
jasprit bumrah,195
shimron hetmyer,191
arshad khan,183
gurjapneet singh,180
ashwani kumar,178
manimaran siddharth,176
xavier bartlett,174
himmat singh,163
will jacks,156
digvesh rathi,152
shubham dubey,149
jacob duffy,147
mukesh choudhary,146
jacob bethell,145
mukesh kumar,144
jaydev unadkat,132
nehal wadhera,126
avesh khan,126
sandeep sharma,124
mitchell starc,124
kuldeep yadav,124
ashok sharma,120
shahrukh khan,120
yash raj punja,117
tushar deshpande,115
nishant sindhu,115
prashant veer,113
blessing muzarabani,111
madhav tiwari,106
abdul samad,101
venkatesh iyer,81
khaleel ahmed,79
liam livingstone,73
shardul thakur,72
raghu sharma,66
deepak chahar,63
manav suthar,63
t natarajan,60
tim seifert,58
abhinandan singh,57
akshat raghuwanshi,56
ramakrishna ghosh,48
matthew short,47
kumar kushagra,44
abishek porel,43
raj bawa,39
dasun shanaka,28
yash thakur,28
vipraj nigam,27
harpreet brar,26
sahil parakh,25
kyle jamieson,23
david payne,21
karun nair,21
ben dwarshuis,16
arshin kulkarni,15
auqib nabi,13
matt henry,12
robin minz,11
trent boult,8
sai kishore,2
kulwant khejroliya,0
spencer johnson,0
saurabh dubey,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
ravi singh,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
adam milne,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
vishnu vinod,0
pyla avinash,0
musheer khan,0
mitchell owen,0
azmatullah omarzai,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
arjun tendulkar,0
akash singh,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
matheesha pathirana,0
umran malik,0
manish pandey,0
harshit rana,0
prithvi raj,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
tripurana vijay,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
rahul chahar,-4
navdeep saini,-13
lockie ferguson,-18
danish malewar,-19
lhuan-dre pretorius,-21
anrich nortje,-26
harshal patel,-33
mayank markande,-39
mayank yadav,-47
