Player,Pts
shubman gill,1392
kl rahul,1366
heinrich klaasen,1360
abhishek sharma,1355
vaibhav suryavanshi,1328
virat kohli,1318
ishan kishan,1310
sai sudharsan,1287
sanju samson,1250
jos buttler,1225
ryan rickelton,1223
cooper connolly,1148
mitchell marsh,1135
devdutt padikkal,1123
prabhsimran singh,1117
dhruv jurel,1061
shreyas iyer,999
angkrish raghuvanshi,999
bhuvneshwar kumar,976
priyansh arya,968
rajat patidar,937
tilak varma,916
finn allen,882
cameron green,828
travis head,825
yashasvi jaiswal,782
nitish kumar reddy,781
sunil narine,763
rinku singh,754
kagiso rabada,748
jamie overton,742
washington sundar,734
naman dhir,731
jason holder,723
riyan parag,675
ruturaj gaikwad,667
donovan ferreira,665
axar patel,665
ravindra jadeja,654
rashid khan,650
jofra archer,643
pathum nissanka,636
tim david,635
rishabh pant,635
anshul kamboj,631
rohit sharma,630
krunal pandya,622
tristan stubbs,591
prince yadav,587
eshan malinga,575
sameer rizvi,557
noor ahmad,556
kartik sharma,555
kartik tyagi,545
mohammed siraj,543
phil salt,539
ajinkya rahane,539
nitish rana,515
marcus stoinis,514
nicholas pooran,508
aiden markram,486
shivam dube,486
dewald brevis,461
ayush mhatre,458
david miller,438
mohsin khan,435
arshdeep singh,425
josh hazlewood,423
sakib hussain,419
sarfaraz khan,416
prasidh krishna,408
urvil patel,403
mohammed shami,400
shashank singh,397
suryansh shedge,395
mukul choudhary,392
pat cummins,384
suryakumar yadav,384
ashutosh sharma,379
quinton de kock,375
akeal hosein,368
rasikh salam,358
jitesh sharma,357
lungi ngidi,354
anukul roy,350
josh inglis,349
varun chakravarthy,325
ravi bishnoi,320
am ghazanfar,313
ayush badoni,309
rovman powell,308
hardik pandya,304
romario shepherd,294
praful hinge,292
brijesh sharma,290
sherfane rutherford,290
corbin bosch,288
shivang kumar,283
salil arora,283
vaibhav arora,272
marco jansen,269
yuzvendra chahal,265
mitchell starc,264
mukesh choudhary,264
harsh dubey,255
venkatesh iyer,255
suyash sharma,255
aniket verma,246
will jacks,240
glenn phillips,233
nandre burger,219
mitchell santner,217
ramandeep singh,213
rahul tewatia,213
jacob bethell,207
vijaykumar vyshak,206
shahbaz ahmed,206
xavier bartlett,204
jasprit bumrah,199
shardul thakur,198
shimron hetmyer,191
madhav tiwari,181
ashwani kumar,178
manimaran siddharth,176
azmatullah omarzai,174
gurjapneet singh,169
himmat singh,163
arshad khan,162
abishek porel,159
shubham dubey,152
digvesh rathi,152
prashant veer,150
jaydev unadkat,132
yash raj punja,131
akash singh,130
jacob duffy,129
nehal wadhera,126
avesh khan,126
sandeep sharma,124
kuldeep yadav,124
ashok sharma,120
shahrukh khan,120
deepak chahar,119
abdul samad,119
tushar deshpande,115
nishant sindhu,115
blessing muzarabani,111
harpreet brar,108
mukesh kumar,108
dasun shanaka,80
khaleel ahmed,79
raj bawa,75
liam livingstone,73
manav suthar,63
t natarajan,60
raghu sharma,58
tim seifert,58
abhinandan singh,57
akshat raghuwanshi,56
ramakrishna ghosh,48
matthew short,47
kumar kushagra,44
spencer johnson,40
sahil parakh,37
vishnu vinod,33
manish pandey,30
saurabh dubey,28
yash thakur,28
vipraj nigam,27
kyle jamieson,23
david payne,21
karun nair,21
ben dwarshuis,16
arshin kulkarni,15
auqib nabi,13
matt henry,12
robin minz,11
ravi singh,9
trent boult,8
sai kishore,8
matheesha pathirana,7
kulwant khejroliya,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
pyla avinash,0
musheer khan,0
mitchell owen,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
arjun tendulkar,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
umran malik,0
harshit rana,0
prithvi raj,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
tripurana vijay,-3
rahul chahar,-4
navdeep saini,-13
adam milne,-15
danish malewar,-19
lhuan-dre pretorius,-21
mayank yadav,-21
anrich nortje,-26
harshal patel,-33
mayank markande,-39
lockie ferguson,-45
