Player,Pts
vaibhav suryavanshi,2188
shubman gill,1897
sai sudharsan,1674
virat kohli,1639
ishan kishan,1626
jos buttler,1571
abhishek sharma,1567
heinrich klaasen,1551
kl rahul,1518
dhruv jurel,1454
rajat patidar,1394
mitchell marsh,1365
prabhsimran singh,1309
shreyas iyer,1291
ryan rickelton,1286
devdutt padikkal,1255
sanju samson,1230
cooper connolly,1186
bhuvneshwar kumar,1105
jofra archer,1036
angkrish raghuvanshi,1014
kagiso rabada,1009
nitish kumar reddy,1002
yashasvi jaiswal,997
tilak varma,964
finn allen,953
travis head,951
priyansh arya,948
krunal pandya,947
donovan ferreira,917
cameron green,908
washington sundar,881
sunil narine,867
jason holder,866
ravindra jadeja,827
riyan parag,798
rashid khan,798
axar patel,795
rinku singh,783
rishabh pant,764
naman dhir,749
jamie overton,742
tim david,733
ajinkya rahane,729
ruturaj gaikwad,723
eshan malinga,678
anshul kamboj,671
josh inglis,660
mohammed siraj,656
pathum nissanka,636
rohit sharma,633
shivam dube,621
rasikh salam,608
tristan stubbs,606
kartik sharma,585
prince yadav,567
sameer rizvi,557
kartik tyagi,550
suryakumar yadav,548
nicholas pooran,540
phil salt,539
noor ahmad,531
corbin bosch,529
david miller,528
nitish rana,515
marcus stoinis,514
venkatesh iyer,513
josh hazlewood,512
prasidh krishna,487
aiden markram,486
dewald brevis,468
lungi ngidi,461
ayush mhatre,458
jitesh sharma,457
rovman powell,454
mohsin khan,453
mohammed shami,441
hardik pandya,440
sakib hussain,435
nandre burger,422
anukul roy,421
shashank singh,418
ayush badoni,416
ashutosh sharma,416
sarfaraz khan,416
suryansh shedge,409
urvil patel,397
rahul tewatia,396
mukul choudhary,392
will jacks,391
varun chakravarthy,388
arshdeep singh,387
am ghazanfar,378
quinton de kock,375
akeal hosein,368
salil arora,359
brijesh sharma,357
praful hinge,354
mitchell starc,353
yuzvendra chahal,347
marco jansen,346
shivang kumar,337
pat cummins,321
ravi bishnoi,320
mukesh choudhary,291
sherfane rutherford,290
romario shepherd,282
vaibhav arora,272
shardul thakur,270
suyash sharma,263
harsh dubey,255
jasprit bumrah,250
aniket verma,246
arshad khan,241
glenn phillips,233
kuldeep yadav,233
deepak chahar,232
yash raj punja,225
abdul samad,222
mitchell santner,217
ramandeep singh,213
jacob duffy,210
jacob bethell,207
vijaykumar vyshak,207
xavier bartlett,204
shahbaz ahmed,199
azmatullah omarzai,195
abishek porel,193
shimron hetmyer,191
manish pandey,181
ashwani kumar,178
gurjapneet singh,178
manimaran siddharth,176
madhav tiwari,175
saurabh dubey,171
dasun shanaka,170
himmat singh,163
shubham dubey,157
nishant sindhu,152
prashant veer,150
jaydev unadkat,132
digvesh rathi,129
nehal wadhera,126
avesh khan,126
ashok sharma,120
shahrukh khan,120
akash singh,116
matthew short,112
blessing muzarabani,111
harpreet brar,108
mukesh kumar,108
tushar deshpande,104
sandeep sharma,98
sahil parakh,81
khaleel ahmed,79
raj bawa,75
liam livingstone,73
manav suthar,63
t natarajan,60
tim seifert,58
abhinandan singh,57
akshat raghuwanshi,56
raghu sharma,53
ramakrishna ghosh,48
arjun tendulkar,44
kumar kushagra,44
sushant mishra,37
vishnu vinod,33
spencer johnson,30
yash thakur,28
vipraj nigam,27
kyle jamieson,23
david payne,21
karun nair,21
ben dwarshuis,16
matt henry,12
robin minz,11
ravi singh,9
trent boult,8
sai kishore,8
matheesha pathirana,7
auqib nabi,6
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
pyla avinash,0
musheer khan,0
mitchell owen,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
umran malik,0
harshit rana,0
prithvi raj,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
tripurana vijay,-3
rahul chahar,-4
arshin kulkarni,-5
lhuan-dre pretorius,-12
navdeep saini,-13
adam milne,-15
danish malewar,-19
kulwant khejroliya,-20
anrich nortje,-26
harshal patel,-37
mayank markande,-39
mayank yadav,-43
lockie ferguson,-45
