Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Rajasthan Royals,3,3,0,0,0,6,2.403,WWW,"vs RCB, SRH, KKR",488/43.1,454/51.0
Punjab Kings,3,2,0,0,1,5,0.637,WWNR,"vs SRH, MI, LSG",375/37.5,371/40.0
Royal Challengers Bengaluru,2,2,0,0,0,4,2.501,WW,"vs RR, MI, LSG",453/35.4,408/40.0
Delhi Capitals,3,2,1,0,0,4,0.811,WWL,"vs CSK, RCB, SRH",518/55.2,513/60.0
Sunrisers Hyderabad,3,1,2,0,0,2,0.275,LWL,"vs PBKS, RR, CSK",583/60.0,524/55.3
Gujarat Titans,3,1,2,0,0,2,-0.270,LLW,"vs LSG, KKR, MI",576/60.0,584/59.1
Lucknow Super Giants,2,1,1,0,0,2,-0.542,LW,"vs KKR, GT, RCB",301/39.5,301/37.1
Mumbai Indians,3,1,2,0,0,2,-0.715,WLL,"vs RCB, PBKS, GT",509/50.1,534/49.1
Kolkata Knight Riders,3,0,2,0,1,1,-1.964,LLNR,"vs LSG, CSK, GT",381/40.0,450/39.1
Chennai Super Kings,3,0,3,0,0,0,-2.517,LLL,"vs DC, KKR, SRH",543/60.0,588/50.5
