Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,8,6,1,0,1,13,1.043,WWWWL,"vs GT, SRH, DC",1537/132.0,1477/139.2
Royal Challengers Bengaluru,8,6,2,0,0,12,1.919,WWLWW,"vs GT, LSG, MI",1501/136.1,1437/157.5
Sunrisers Hyderabad,9,6,3,0,0,12,0.832,WWWWW,"vs KKR, PBKS, GT",1932/177.1,1756/174.2
Rajasthan Royals,9,6,3,0,0,12,0.617,LLWLW,"vs DC, GT, DC",1619/160.3,1602/169.1
Gujarat Titans,8,4,4,0,0,8,-0.475,WWLLW,"vs RCB, PBKS, RR",1389/155.0,1491/158.0
Chennai Super Kings,8,3,5,0,0,6,-0.121,WWLWL,"vs MI, DC, LSG",1496/160.0,1397/147.3
Delhi Capitals,8,3,5,0,0,6,-1.060,LWLLL,"vs RR, CSK, KKR",1420/155.1,1484/145.2
Kolkata Knight Riders,8,2,5,0,1,5,-0.751,LLLWW,"vs SRH, DC, RCB",1218/139.4,1315/138.5
Mumbai Indians,8,2,6,0,0,4,-0.784,LLWLL,"vs CSK, LSG, RCB",1472/150.1,1528/144.2
Lucknow Super Giants,8,2,6,0,0,4,-1.106,LLLLL,"vs MI, RCB, CSK",1267/159.5,1364/151.0
