Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,2,2,0,0,0,4,2.501,WW,"vs RR, MI, LSG",453/35.4,408/40.0
Rajasthan Royals,2,2,0,0,0,4,2.233,WW,"vs MI, RCB, SRH",338/32.1,331/40.0
Delhi Capitals,2,2,0,0,0,4,1.170,WW,"vs GT, CSK, RCB",309/35.2,303/40.0
Punjab Kings,2,2,0,0,0,4,0.637,WW,"vs KKR, SRH, MI",375/37.5,371/40.0
Sunrisers Hyderabad,3,1,2,0,0,2,0.275,LWL,"vs PBKS, RR, CSK",583/60.0,524/55.3
Mumbai Indians,2,1,1,0,0,2,-0.206,WL,"vs RR, RCB, PBKS",386/39.1,384/38.1
Lucknow Super Giants,2,1,1,0,0,2,-0.542,LW,"vs KKR, GT, RCB",301/39.5,301/37.1
Gujarat Titans,2,0,2,0,0,0,-0.424,LL,"vs DC, LSG, KKR",366/40.0,375/39.1
Kolkata Knight Riders,2,0,2,0,0,0,-1.964,LL,"vs PBKS, LSG, CSK",381/40.0,450/39.1
Chennai Super Kings,3,0,3,0,0,0,-2.517,LLL,"vs DC, KKR, SRH",543/60.0,588/50.5
