Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,12,8,4,0,0,16,1.053,WLLWW,"vs PBKS, SRH",2220/214.2,2165/232.4
Gujarat Titans,12,8,4,0,0,16,0.551,WWWWW,"vs KKR, CSK",2111/230.4,2047/238.0
Sunrisers Hyderabad,12,7,5,0,0,14,0.331,WWLWL,"vs CSK, RCB",2418/237.1,2295/232.4
Punjab Kings,12,6,5,0,1,13,0.355,LLLLL,"vs RCB, LSG",2312/212.0,2300/218.0
Chennai Super Kings,11,6,5,0,0,12,0.185,WLWWW,"vs LSG, SRH, GT",2023/215.0,1914/207.3
Rajasthan Royals,11,6,5,0,0,12,0.082,WLWLL,"vs DC, LSG, MI",1996/200.3,2057/208.2
Delhi Capitals,12,5,7,0,0,10,-0.993,LWLLW,"vs RR, KKR",2159/233.2,2225/217.1
Kolkata Knight Riders,11,4,6,0,1,9,-0.198,WWWWL,"vs GT, MI, DC",1726/192.2,1816/198.0
Mumbai Indians,12,4,8,0,0,8,-0.504,LLWLW,"vs KKR, RR",2231/228.4,2283/222.3
Lucknow Super Giants,11,3,8,0,0,6,-0.907,LLLWL,"vs CSK, RR, PBKS",1910/218.5,2004/208.0
