Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Rajasthan Royals,2,2,0,0,0,4,2.233,WW,"vs MI, RCB, SRH",338/32.1,331/40.0
Delhi Capitals,2,2,0,0,0,4,1.170,WW,"vs GT, CSK, RCB",309/35.2,303/40.0
Punjab Kings,2,2,0,0,0,4,0.637,WW,"vs KKR, SRH, MI",375/37.5,371/40.0
Royal Challengers Bengaluru,1,1,0,0,0,2,2.907,W,"vs CSK, RR, MI",203/15.4,201/20.0
Sunrisers Hyderabad,2,1,1,0,0,2,0.469,LW,"vs LSG, PBKS, RR",427/40.0,364/35.4
Mumbai Indians,2,1,1,0,0,2,-0.206,WL,"vs RR, RCB, PBKS",386/39.1,384/38.1
Gujarat Titans,2,0,2,0,0,0,-0.424,LL,"vs DC, LSG, KKR",366/40.0,375/39.1
Lucknow Super Giants,1,0,1,0,0,0,-1.397,L,"vs SRH, KKR, GT",141/20.0,145/17.1
Kolkata Knight Riders,2,0,2,0,0,0,-1.964,LL,"vs PBKS, LSG, CSK",381/40.0,450/39.1
Chennai Super Kings,2,0,2,0,0,0,-2.562,LL,"vs RCB, DC, KKR",336/40.0,338/30.5
