Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Rajasthan Royals,1,1,0,0,0,2,4.171,W,"vs GT, MI, RCB",128/12.1,127/20.0
Royal Challengers Bengaluru,1,1,0,0,0,2,2.907,W,"vs CSK, RR, MI",203/15.4,201/20.0
Mumbai Indians,1,1,0,0,0,2,0.687,W,"vs DC, RR, RCB",224/19.1,220/20.0
Kolkata Knight Riders,1,0,1,0,0,0,-0.687,L,"vs SRH, PBKS, LSG",220/20.0,224/19.1
Sunrisers Hyderabad,1,0,1,0,0,0,-2.907,L,"vs KKR, LSG, PBKS",201/20.0,203/15.4
Chennai Super Kings,1,0,1,0,0,0,-4.171,L,"vs PBKS, RCB, DC",127/20.0,128/12.1
Delhi Capitals,-,-,-,-,-,-,-,,"vs LSG, MI, GT",-,-
Gujarat Titans,-,-,-,-,-,-,-,,"vs PBKS, RR, DC",-,-
Lucknow Super Giants,-,-,-,-,-,-,-,,"vs DC, SRH, KKR",-,-
Punjab Kings,-,-,-,-,-,-,-,,"vs GT, CSK, KKR",-,-
