Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,8,6,1,0,1,13,1.043,WWWWL,"vs GT, SRH, DC",1537/132.0,1477/139.2
Royal Challengers Bengaluru,9,6,3,0,0,12,1.420,WLWWL,"vs LSG, MI, KKR",1656/156.1,1595/173.4
Sunrisers Hyderabad,9,6,3,0,0,12,0.832,WWWWW,"vs KKR, PBKS, GT",1932/177.1,1756/174.2
Rajasthan Royals,10,6,4,0,0,12,0.510,LWLWL,"vs GT, DC, LSG",1844/180.3,1828/188.2
Gujarat Titans,9,5,4,0,0,10,-0.192,WLLWW,"vs PBKS, RR, SRH",1547/170.5,1646/178.0
Delhi Capitals,9,4,5,0,0,8,-0.895,WLLLW,"vs CSK, KKR, PBKS",1646/174.2,1709/165.2
Chennai Super Kings,8,3,5,0,0,6,-0.121,WWLWL,"vs MI, DC, LSG",1496/160.0,1397/147.3
Kolkata Knight Riders,8,2,5,0,1,5,-0.751,LLLWW,"vs SRH, DC, RCB",1218/139.4,1315/138.5
Mumbai Indians,8,2,6,0,0,4,-0.784,LLWLL,"vs CSK, LSG, RCB",1472/150.1,1528/144.2
Lucknow Super Giants,8,2,6,0,0,4,-1.106,LLLLL,"vs MI, RCB, CSK",1267/159.5,1364/151.0
