Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Rajasthan Royals,4,4,0,0,0,8,2.055,WWWW,"vs SRH, KKR, LSG",690/61.1,655/71.0
Punjab Kings,4,3,0,0,1,7,0.720,WWNRW,"vs MI, LSG, DC",598/56.4,590/60.0
Royal Challengers Bengaluru,4,3,1,0,0,6,1.148,WWLW,"vs LSG, DC, GT",894/75.4,832/78.0
Delhi Capitals,4,2,2,0,0,4,0.322,WWLL,"vs RCB, SRH, PBKS",707/75.2,725/80.0
Gujarat Titans,4,2,2,0,0,4,-0.029,LLWW,"vs KKR, MI, RCB",741/78.4,748/79.1
Lucknow Super Giants,4,2,2,0,0,4,-0.427,LWWL,"vs RCB, PBKS, RR",647/79.5,647/75.5
Sunrisers Hyderabad,4,1,3,0,0,2,-0.024,LWLL,"vs RR, CSK, DC",802/80.0,747/74.2
Mumbai Indians,4,1,3,0,0,2,-0.772,WLLL,"vs PBKS, GT, CSK",731/70.1,774/69.1
Chennai Super Kings,4,1,3,0,0,2,-1.532,LLLW,"vs KKR, SRH, MI",755/80.0,777/70.5
Kolkata Knight Riders,4,0,3,0,1,1,-1.315,LLNRL,"vs CSK, GT, RR",562/60.0,632/59.1
