Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,7,6,0,0,1,13,1.333,NRWWWW,"vs RR, GT, SRH",1315/112.0,1249/120.0
Royal Challengers Bengaluru,8,6,2,0,0,12,1.919,WWLWW,"vs GT, LSG, MI",1501/136.1,1437/157.5
Sunrisers Hyderabad,8,5,3,0,0,10,0.815,LWWWW,"vs MI, KKR, PBKS",1683/158.3,1513/154.2
Rajasthan Royals,8,5,3,0,0,10,0.602,WLLWL,"vs PBKS, DC, GT",1391/141.1,1380/149.1
Gujarat Titans,8,4,4,0,0,8,-0.475,WWLLW,"vs RCB, PBKS, RR",1389/155.0,1491/158.0
Chennai Super Kings,8,3,5,0,0,6,-0.121,WWLWL,"vs MI, DC, LSG",1496/160.0,1397/147.3
Delhi Capitals,8,3,5,0,0,6,-1.060,LWLLL,"vs RR, CSK, KKR",1420/155.1,1484/145.2
Kolkata Knight Riders,8,2,5,0,1,5,-0.751,LLLWW,"vs SRH, DC, RCB",1218/139.4,1315/138.5
Mumbai Indians,7,2,5,0,0,4,-0.736,LLLWL,"vs SRH, CSK, LSG",1229/130.1,1279/125.4
Lucknow Super Giants,8,2,6,0,0,4,-1.106,LLLLL,"vs MI, RCB, CSK",1267/159.5,1364/151.0
