Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,1,1,0,0,0,2,2.907,W,"vs CSK, RR, MI",203/15.4,201/20.0
Sunrisers Hyderabad,1,0,1,0,0,0,-2.907,L,"vs KKR, LSG, PBKS",201/20.0,203/15.4
Chennai Super Kings,-,-,-,-,-,-,-,,"vs RR, PBKS, RCB",-,-
Delhi Capitals,-,-,-,-,-,-,-,,"vs LSG, MI, GT",-,-
Gujarat Titans,-,-,-,-,-,-,-,,"vs PBKS, RR, DC",-,-
Kolkata Knight Riders,-,-,-,-,-,-,-,,"vs MI, SRH, PBKS",-,-
Lucknow Super Giants,-,-,-,-,-,-,-,,"vs DC, SRH, KKR",-,-
Mumbai Indians,-,-,-,-,-,-,-,,"vs KKR, DC, RR",-,-
Punjab Kings,-,-,-,-,-,-,-,,"vs GT, CSK, KKR",-,-
Rajasthan Royals,-,-,-,-,-,-,-,,"vs CSK, GT, MI",-,-
