Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Rajasthan Royals,1,1,0,0,0,2,4.171,W,"vs GT, MI, RCB",128/12.1,127/20.0
Royal Challengers Bengaluru,1,1,0,0,0,2,2.907,W,"vs CSK, RR, MI",203/15.4,201/20.0
Delhi Capitals,1,1,0,0,0,2,1.397,W,"vs MI, GT, CSK",145/17.1,141/20.0
Mumbai Indians,1,1,0,0,0,2,0.687,W,"vs DC, RR, RCB",224/19.1,220/20.0
Punjab Kings,1,1,0,0,0,2,0.509,W,"vs CSK, KKR, SRH",165/19.1,162/20.0
Gujarat Titans,1,0,1,0,0,0,-0.509,L,"vs RR, DC, LSG",162/20.0,165/19.1
Kolkata Knight Riders,1,0,1,0,0,0,-0.687,L,"vs SRH, PBKS, LSG",220/20.0,224/19.1
Lucknow Super Giants,1,0,1,0,0,0,-1.397,L,"vs SRH, KKR, GT",141/20.0,145/17.1
Sunrisers Hyderabad,1,0,1,0,0,0,-2.907,L,"vs KKR, LSG, PBKS",201/20.0,203/15.4
Chennai Super Kings,1,0,1,0,0,0,-4.171,L,"vs PBKS, RCB, DC",127/20.0,128/12.1
