Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Sunrisers Hyderabad,11,7,4,0,0,14,0.737,WWWLW,"vs GT, CSK, RCB",2332/217.1,2127/212.4
Gujarat Titans,11,7,4,0,0,14,0.228,LWWWW,"vs SRH, KKR, CSK",1943/210.4,1961/218.0
Punjab Kings,10,6,3,0,1,13,0.571,WWLLL,"vs DC, MI, RCB",1902/172.0,1879/179.1
Royal Challengers Bengaluru,10,6,4,0,0,12,1.234,LWWLL,"vs MI, KKR, PBKS",1859/175.1,1807/192.4
Rajasthan Royals,11,6,5,0,0,12,0.082,WLWLL,"vs DC, LSG, MI",1996/200.3,2057/208.2
Chennai Super Kings,10,5,5,0,0,10,0.151,LWLWW,"vs LSG, LSG, SRH",1815/195.4,1711/187.3
Kolkata Knight Riders,10,4,5,0,1,9,-0.169,LWWWW,"vs RCB, GT, MI",1534/172.2,1622/178.5
Delhi Capitals,11,4,7,0,0,8,-1.154,LLWLL,"vs PBKS, RR, KKR",1943/214.2,2015/197.1
Mumbai Indians,10,3,7,0,0,6,-0.649,WLLLW,"vs RCB, PBKS, KKR",1860/188.5,1916/182.3
Lucknow Super Giants,10,3,7,0,0,6,-0.934,LLLLW,"vs CSK, CSK, RR",1707/198.5,1796/188.4
