Player,Player Short Name,Team,Position,Pts
marcus campopiano,m campopiano,ita,wk,0
gian-piero meade,g meade,ita,wk,0
zain ali,z ali,ita,bowl,0
ali hasan,a hasan,ita,bowl,0
crishan kalugamage,c kalugamage,ita,bowl,0
harry manenti,h manenti,ita,alr,0
anthony mosca,a mosca,ita,bat,0
justin mosca,j mosca,ita,bat,0
syed naqvi,s naqvi,ita,bat,0
ben manenti,b manenti,ita,bowl,0
jaspreet singh,j singh,ita,bowl,0
jj smuts,jj smuts,ita,alr,0
grant stewart,g stewart,ita,alr,0
thomas draca,t draca,ita,bowl,0
wayne madsen,w madsen,ita,bat,0
luke wood,l wood,eng,bowl,0
josh tongue,j tongue,eng,bowl,0
phil salt,p salt,eng,bat,0
adil rashid,a rashid,eng,bowl,0
jamie overton,j overton,eng,alr,0
will jacks,w jacks,eng,bat,0
ben duckett,b duckett,eng,bat,0
liam dawson,l dawson,eng,alr,0
sam curran,s curran,eng,alr,0
jos buttler,j buttler,eng,wk,0
jacob bethell,j bethell,eng,bat,0
tom banton,t banton,eng,wk,0
jofra archer,j archer,eng,bowl,0
rehan ahmed,r ahmed,eng,alr,0
harry brook,h brook,eng,bat,0
dion myers,d myers,zim,bat,0
tashinga musekiwa,t musekiwa,zim,bat,0
tinotenda maposa,t maposa,zim,bowl,0
brad evans,b evans,zim,alr,0
brian bennett,b bennett,zim,alr,0
brendan taylor,b taylor,zim,wk,0
richard ngarava,r ngarava,zim,bowl,0
blessing muzarabani,b muzarabani,zim,bowl,0
tony munyonga,t munyonga,zim,bat,0
wellington masakadza,w masakadza,zim,bowl,0
tadiwanashe marumani,t marumani,zim,bat,0
clive madande,c madande,zim,wk,0
graeme cremer,g cremer,zim,bowl,0
ryan burl,r burl,zim,bat,0
sikandar raza,s raza,zim,alr,0
pavan rathnayake,p rathnayake,sl,bat,0
traveen mathew,t mathew,sl,bowl,0
vijayakanth viyaskanth,v viyaskanth,sl,bowl,0
dushan hemantha,d hemantha,sl,bowl,0
maheesh theekshana,m theekshana,sl,bowl,0
dilshan madushanka,d madushanka,sl,bowl,0
matheesha pathirana,m pathirana,sl,bowl,0
pramod madushan,p madushan,sl,bowl,0
dushmantha chameera,d chameera,sl,bowl,0
eshan malinga,e malinga,sl,bowl,0
