Player,Player Short Name,Team,Position,Pts,Owner
jofra archer,j archer,eng,bowl,118,neela
dushmantha chameera,d chameera,sl,bowl,118,AkshayM
tom bruce,t bruce,scot,bat,117,Unowned
arshdeep singh,a singh,ind,bowl,117,mahaarajanmg
matt henry,m henry,nz,bowl,115,neela
rohit paudel,r paudel,nep,bat,114,Unowned
cameron green,c green,aus,alr,109,ColdTaker
brandon king,b king,wi,bat,108,ntkesh
ansh patel,a patel,can,bowl,108,Unowned
lockie ferguson,l ferguson,nz,bowl,107,ntkesh
roelof van der merwe,r van der merwe,neth,alr,107,Unowned
kagiso rabada,k rabada,sa,bowl,105,sk
james neesham,j neesham,nz,alr,99,sk
shakeel ahmed,s ahmed,oman,bowl,97,Unowned
matheesha pathirana,m pathirana,sl,bowl,96,sudarshan
ryan burl,r burl,zim,bat,94,Unowned
oliver davidson,o davidson,scot,bowl,93,Unowned
corbin bosch,c bosch,sa,alr,93,Unowned
dewald brevis,d brevis,sa,bat,92,sudarshan
faheem ashraf,f ashraf,pak,alr,91,Unowned
brad wheal,b wheal,scot,bowl,91,Unowned
sufyan mehmood,s mehmood,oman,bowl,91,Unowned
paul van meekeren,p van meekeren,neth,bowl,91,Unowned
barry mccarthy,b mccarthy,ire,bowl,88,Unowned
brendan taylor,b taylor,zim,wk,86,AkshayM
kyle klein,k klein,neth,bowl,84,Unowned
andries gous,a gous,usa,bat,83,Unowned
usman khan,u khan,pak,bat,82,Unowned
zane green,z green,nam,wk,82,Unowned
kushal bhurtel,k bhurtel,nep,bat,80,Unowned
kamil mishara,k mishara,sl,bat,79,Unowned
mark watt,m watt,scot,bowl,78,Unowned
saurabh netravalkar,s netravalkar,usa,bowl,76,Unowned
rinku singh,r singh,ind,bat,76,AkshayM
wasim ali,w ali,oman,alr,75,Unowned
muhammad jawadullah,m jawadullah,uae,bowl,74,Unowned
aasif sheikh,a sheikh,nep,wk,74,Unowned
abrar ahmed,a ahmed,pak,bowl,70,AkshayM
nicholas kirton,n kirton,can,bat,70,Unowned
colin ackermann,c ackermann,neth,alr,69,Unowned
shah faisal,s faisal,oman,bat,68,Unowned
bernard scholtz,b scholtz,nam,bowl,68,Unowned
rachin ravindra,r ravindra,nz,alr,66,Unowned
nandan yadav,n yadav,nep,bowl,66,Unowned
curtis campher,c campher,ire,alr,66,Unowned
hammad mirza,h mirza,oman,wk,65,Unowned
pathum nissanka,p nissanka,sl,bat,64,Sriram
akeal hosein,a hosein,wi,bowl,62,Unowned
kaleem sana,k sana,can,bowl,62,Unowned
vinayak shukla,v shukla,oman,wk,61,Unowned
mayank kumar,m kumar,uae,bat,60,Unowned
sanju samson,s samson,ind,wk,60,ColdTaker
mujeeb ur rahman,m ur rahman,afgh,bowl,59,ColdTaker
aarif sheikh,a sheikh,nep,bat,57,Unowned
kuldeep yadav,k yadav,ind,bowl,57,Unowned
ali hasan,a hasan,ita,bowl,56,Unowned
ali khan,a khan,usa,bowl,55,Unowned
cooper connolly,c connolly,aus,alr,53,Sriram
darwish rasooli,d rasooli,afgh,bat,52,AkshayM
karan kc,k kc,nep,alr,52,Unowned
sompal kami,s kami,nep,bowl,51,Unowned
mohammad nadeem,m nadeem,oman,bowl,51,Unowned
fred klaassen,f klaassen,neth,bowl,50,Unowned
sandeep lamichhane,s lamichhane,nep,bowl,47,Unowned
ibrahim zadran,i zadran,afgh,bat,45,ntkesh
tashinga musekiwa,t musekiwa,zim,bat,45,Unowned
glenn maxwell,g maxwell,aus,alr,43,ds&ps
nosthush kenjige,n kenjige,usa,bowl,41,Unowned
dilon heyliger,d heyliger,can,bowl,41,Unowned
sediqullah atal,s atal,afgh,bat,40,ntkesh
mohammad nabi,m nabi,afgh,alr,39,ColdTaker
jaspreet singh,j singh,ita,bowl,39,Unowned
wellington masakadza,w masakadza,zim,bowl,39,Unowned
matthew cross,m cross,scot,wk,36,Unowned
ben calitz,b calitz,ire,bat,35,Unowned
paul stirling,p stirling,ire,bat,35,ds&ps
luke wood,l wood,eng,bowl,34,Unowned
shreyas movva,s movva,can,wk,33,Unowned
matthew kuhnemann,m kuhnemann,aus,bowl,31,Unowned
travis head,t head,aus,bat,31,neela
max o'dowd,m o'dowd,neth,bat,31,Unowned
gian-piero meade,g meade,ita,wk,29,Unowned
zach lion-cachet,z lion-cachet,neth,alr,29,Unowned
yuvraj samra,y samra,can,bat,28,Unowned
sher malla,s malla,nep,bowl,27,Unowned
dilpreet bajwa,d bajwa,can,alr,26,Unowned
ruben trumpelmann,r trumpelmann,nam,bowl,26,Unowned
fazalhaq farooqi,f farooqi,afgh,bowl,24,sk
graeme cremer,g cremer,zim,bowl,21,Unowned
nadeem khan,n khan,oman,alr,21,Unowned
noor ahmad,n ahmad,afgh,bowl,20,ntkesh
george linde,g linde,sa,alr,19,mahaarajanmg
jatinder singh,j singh,oman,bat,19,Unowned
malan kruger,m kruger,nam,bat,19,Unowned
jay odedra,j odedra,oman,bowl,18,Unowned
xavier bartlett,x bartlett,aus,bowl,18,Sriram
gulsan jha,g jha,nep,alr,17,Unowned
grant stewart,g stewart,ita,alr,17,Unowned
ashish odedara,a odedara,oman,bat,16,Unowned
marcus campopiano,m campopiano,ita,wk,15,Unowned
tony munyonga,t munyonga,zim,bat,15,Unowned
jacob duffy,j duffy,nz,bowl,13,Sriram
ben shikongo,b shikongo,nam,bowl,12,Unowned
dushan hemantha,d hemantha,sl,bowl,11,Unowned
dion myers,d myers,zim,bat,9,Unowned
tim tector,t tector,ire,bat,8,Unowned
dylan leicher,d leicher,nam,alr,8,Unowned
harshit kaushik,h kaushik,uae,alr,5,Unowned
jiten ramanandi,j ramanandi,oman,bowl,5,Unowned
ben dwarshuis,b dwarshuis,aus,bowl,3,Unowned
simranjeet singh,s singh,uae,bowl,0,Unowned
muhammad zohaib,m zohaib,uae,bat,0,Unowned
haider ali,h ali,uae,bat,0,Unowned
shehan jayasuriya,s jayasuriya,usa,alr,0,Unowned
jasdeep singh,j singh,usa,bowl,0,Unowned
shivam sharma,s sharma,can,alr,0,Unowned
khawaja nafay,k nafay,pak,wk,0,AkshayM
naseem shah,n shah,pak,bowl,0,sudarshan
fakhar zaman,f zaman,pak,bat,0,ColdTaker
