Player,Team
shreyas iyer,punjab kings
marco jansen,punjab kings
arshdeep singh,punjab kings
krunal pandya,royal challengers bengaluru
ayush mhatre,chennai super kings
jitesh sharma,royal challengers bengaluru
brydon carse,sunrisers hyderabad
mohsin khan,lucknow super giants
sai kishore,gujarat titans
urvil patel,chennai super kings
shahrukh khan,gujarat titans
mayank markande,mumbai indians
tim david,royal challengers bengaluru
