Player,Team
travis head,sunrisers hyderabad
abhishek sharma,sunrisers hyderabad
ishan kishan,sunrisers hyderabad
digvesh rathi,lucknow super giants
will jacks,mumbai indians
harpreet brar,punjab kings
dhruv jurel,rajasthan royals
romario shepherd,royal challengers bengaluru
rahul tewatia,gujarat titans
ayush badoni,lucknow super giants
shardul thakur,mumbai indians
zeeshan ansari,sunrisers hyderabad
hardik pandya,mumbai indians
