Player,Team
kl rahul,delhi capitals
axar patel,delhi capitals
tristan stubbs,delhi capitals
prabhsimran singh,punjab kings
nehal wadhera,punjab kings
angkrish raghuvanshi,kolkata knight riders
mohammed siraj,gujarat titans
priyansh arya,punjab kings
ruturaj gaikwad,chennai super kings
bhuvneshwar kumar,royal challengers bengaluru
trent boult,mumbai indians
mangesh yadav,rajasthan royals
azmatullah omarzai,punjab kings
