Player,Team
yashasvi jaiswal,rajasthan royals
jofra archer,rajasthan royals
riyan parag,rajasthan royals
avesh khan,lucknow super giants
vaibhav suryavanshi,rajasthan royals
prasidh krishna,gujarat titans
rashid khan,gujarat titans
ashutosh sharma,delhi capitals
abishek porel,delhi capitals
abdul samad,lucknow super giants
kuldeep yadav,delhi capitals
shivam dube,chennai super kings
jamie overton,chennai super kings
