Player,Team
nicholas pooran,lucknow super giants
rishabh pant,lucknow super giants
aiden markram,lucknow super giants
sameer rizvi,delhi capitals
washington sundar,gujarat titans
lungi ngidi,delhi capitals
mohammed shami,lucknow super giants
nitish kumar reddy,sunrisers hyderabad
phil salt,royal challengers bengaluru
jaydev unadkat,sunrisers hyderabad
rovman powell,kolkata knight riders
devdutt padikkal,royal challengers bengaluru
mukesh choudhary,chennai super kings
