Player,Team
sunil narine,kolkata knight riders
varun chakravarthy,kolkata knight riders
marcus stoinis,punjab kings
nitish rana,delhi capitals
shashank singh,punjab kings
ajinkya rahane,kolkata knight riders
tim seifert,kolkata knight riders
heinrich klaasen,sunrisers hyderabad
finn allen,kolkata knight riders
khaleel ahmed,chennai super kings
mukesh kumar,delhi capitals
auqib nabi,kolkata knight riders
mayank yadav,lucknow super giants
