Player,Team
sai sudharsan,gujarat titans
shubman gill,gujarat titans
matt henry,chennai super kings
glenn phillips,gujarat titans
tilak varma,mumbai indians
mitchell santner,mumbai indians
deepak chahar,mumbai indians
david miller,delhi capitals
josh hazlewood,royal challengers bengaluru
harshal patel,sunrisers hyderabad
venkatesh iyer,royal challengers bengaluru
vishnu vinod,punjab kings
t natarajan,delhi capitals
