Player,Team
jasprit bumrah,mumbai indians
suryakumar yadav,mumbai indians
quinton de kock,mumbai indians
tushar deshpande,rajasthan royals
naman dhir,mumbai indians
cameron green,kolkata knight riders
shahbaz ahmed,lucknow super giants
ashwani kumar,mumbai indians
shimron hetmyer,rajasthan royals
vipraj nigam,delhi capitals
mitchell marsh,lucknow super giants
pathum nissanka,delhi capitals
vaibhav arora,kolkata knight riders
