Player,Team,Category,Base Price,Sold Price,Winner,Sold Time
Travis Head,AUS,Batsman,1,37.0,neela,2026-02-07 06:10:08
Babar Azam,PAK,Batsman,1,4.5,mahaarajanmg,2026-02-07 06:14:15
Suryakumar Yadav,IND,Batsman,1,23.0,sk,2026-02-07 06:16:54
Quinton De Kock,SA,Wicketkeeper,1,26.0,neela,2026-02-07 06:21:54
Lungi Ngidi,SA,Bowler,1,4.0,ColdTaker,2026-02-07 06:23:22
Cooper Connolly,AUS,All-Rounder,1,1.0,Sriram,2026-02-07 06:24:01
Wanindu Hasaranga,SL,All-Rounder,1,1.0,ColdTaker,2026-02-07 06:27:16
David Miller,SA,Batsman,1,5.0,sudarshan,2026-02-07 06:29:50
Hardik Pandya,IND,All-Rounder,1,19.0,ntkesh,2026-02-07 06:32:02
Kusal Mendis,SL,Wicketkeeper,1,18.0,Sriram,2026-02-07 06:33:25
Kagiso Rabada,SA,Bowler,1,12.0,sk,2026-02-07 06:35:08
Lockie Ferguson,NZ,Bowler,1,1.0,ntkesh,2026-02-07 06:35:58
Varun Chakravarthy,IND,Bowler,1,13.0,ntkesh,2026-02-07 06:38:09
Jacob Bethell,ENG,Batsman,1,19.0,ColdTaker,2026-02-07 06:43:22
Rovman Powell,WI,Batsman,1,1.0,neela,2026-02-07 06:48:44
Jofra Archer,ENG,Bowler,1,4.0,neela,2026-02-07 06:50:12
Daryl Mitchell,NZ,All-Rounder,1,1.0,neela,2026-02-07 06:51:26
Shaheen Shah Afridi,PAK,Bowler,1,2.5,sudarshan,2026-02-07 06:52:39
Jasprit Bumrah,IND,Bowler,1,14.0,sk,2026-02-07 06:53:24
Brandon King,WI,Batsman,1,1.0,ntkesh,2026-02-07 07:10:22
Sediqullah Atal,AFG,Batsman,1,1.0,ntkesh,2026-02-07 07:12:22
Dasun Shanaka,SL,Batsman,1,1.0,sk,2026-02-07 07:13:22
Tristan Stubbs,SA,Wicketkeeper,1,1.0,sk,2026-02-07 07:15:22
Salman Mirza,PAK,Bowler,1,1.0,neela,2026-02-07 07:14:22
Shamar Joseph,WI,Bowler,1,1.0,ds&ps,2026-02-07 07:16:22
Anrich Nortje,SA,Bowler,1,1.0,ds&ps,2026-02-07 07:16:22
Gudakesh Motie,WI,Bowler,1,1.0,ds&ps,2026-02-07 07:16:22
