AkshayM,0.0,203,413,499,950,1192,1261,1281,1374,1439,1604,1656,1979,1998,2035
ColdTaker,0.0,-20,620,767,1001,1279,1458,1474,1594,1572,1737,1742,1718,1974,2006
Sriram,0.0,192,339,407,463,778,1138,1117,1246,1580,2027,2079,2490,2628,2723
ds&ps,0.0,483,712,712,712,1133,1133,1200,1265,1394,1815,1815,1888,2179,2456
mahaarajanmg,0.0,260,421,438,575,964,1074,1074,1106,1320,1359,1618,1705,1976,1976
neela,0.0,294,452,603,672,1210,1210,1294,1532,1547,1834,1880,1955,2270,2339
ntkesh,0.0,169,304,445,487,736,1079,1079,1396,1658,2050,2050,2425,2749,2749
sk,0.0,261,522,679,771,1007,1533,1533,1761,2084,2279,2301,2476,2551,2551
sudarshan,0.0,283,339,503,744,1400,1440,1455,1668,1900,1903,1903,2250,2342,2496
