AkshayM,0.0,203,413,499,950,1192,1261,1281,1374,1439,1604,1656,1979,1998,2035,2035,2105,2105,2472,2628,2628,2732
ColdTaker,0.0,-20,620,767,1001,1279,1458,1474,1594,1572,1737,1742,1718,1974,2006,2006,2223,2223,2317,2487,2809,2968
Sriram,0.0,192,339,407,463,778,1138,1117,1246,1580,2027,2079,2490,2628,2723,2723,2973,2973,3013,3000,3222,3297
ds&ps,0.0,483,712,712,712,1133,1133,1200,1265,1394,1815,1815,1888,2179,2456,2456,2642,3149,3201,3201,3289,3482
mahaarajanmg,0.0,260,421,438,575,964,1074,1074,1106,1320,1359,1618,1705,1976,1976,1976,2146,2166,2200,2295,2485,2602
neela,0.0,294,452,603,672,1210,1210,1294,1532,1547,1834,1880,1955,2270,2339,2339,2431,2662,2750,2891,3193,3268
ntkesh,0.0,169,304,445,487,736,1079,1079,1396,1658,2050,2050,2425,2749,2749,2749,3044,3055,3108,3126,3550,3588
sk,0.0,261,522,679,771,1007,1533,1533,1761,2084,2279,2301,2476,2551,2551,2551,2958,2958,2999,3249,3534,3604
sudarshan,0.0,283,339,503,744,1400,1440,1455,1668,1900,1903,1903,2250,2342,2496,2496,2917,2999,3290,3290,3408,3408
