AkshayM,0.0,203,413,499,950,1192,1261,1281,1374,1439
ColdTaker,0.0,-20,620,767,1001,1279,1458,1474,1594,1572
Sriram,0.0,192,339,407,463,778,1138,1117,1246,1580
ds&ps,0.0,483,712,712,712,1133,1133,1200,1265,1394
mahaarajanmg,0.0,260,421,438,575,964,1074,1074,1106,1320
neela,0.0,294,452,603,672,1210,1210,1294,1532,1547
ntkesh,0.0,169,304,445,487,736,1079,1079,1396,1658
sk,0.0,261,522,679,771,1007,1533,1533,1761,2084
sudarshan,0.0,283,339,503,744,1400,1440,1455,1668,1900
