Player,Team
roston chase,wi
marco jansen,sa
jason holder,wi
sahibzada farhan,pak
matheesha pathirana,sl
naseem shah,pak
jason smith,sa
adam zampa,aus
dewald brevis,sa
david miller,sa
shaheen shah afridi,pak
