Player,Team
devon conway,nz
glenn phillips,nz
george linde,sa
axar patel,ind
keshav maharaj,sa
ben duckett,eng
arshdeep singh,ind
shai hope,wi
rahmanullah gurbaz,afg
eshan malinga,sl
babar azam,pak
