Player,Team
sanju samson,ind
cameron green,aus
tim seifert,nz
abhishek sharma,ind
mohammad nabi,afg
fakhar zaman,pak
mujeeb ur rahman,afg
maheesh theekshana,sl
lungi ngidi,sa
wanindu hasaranga,sl
jacob bethell,eng
