Player,Team
james neesham,nz
sam curran,eng
mitchell santner,nz
fazalhaq farooqi,afg
kamindu mendis,sl
ishan kishan,ind
suryakumar yadav,ind
kagiso rabada,sa
jasprit bumrah,ind
dasun shanaka,sl
tristan stubbs,sa
