Player,Team
harry brook,eng
nathan ellis,aus
brendan taylor,zim
rinku singh,ind
darwish rasooli,afg
abrar ahmed,pak
mohammad nawaz,pak
khawaja nafay,pak
dushmantha chameera,sl
shadab khan,pak
finn allen,nz
