Player,Team
saim ayub,pak
adil rashid,eng
jacob duffy,nz
tim david,aus
ryan rickelton,sa
shivam dube,ind
pathum nissanka,sl
xavier bartlett,aus
tilak varma,ind
cooper connolly,aus
kusal mendis,sl
