Player,Team
matt henry,nz
kusal perera,sl
rashid khan,afg
sikandar raza,zim
sherfane rutherford,wi
travis head,aus
quinton de kock,sa
rovman powell,wi
jofra archer,eng
daryl mitchell,nz
salman mirza,pak
