Player,Team
phil salt,eng
jamie overton,eng
ibrahim zadran,afg
salman agha,pak
aiden markram,sa
noor ahmad,afg
hardik pandya,ind
lockie ferguson,nz
varun chakravarthy,ind
brandon king,wi
sediqullah atal,afg
