Player,Team
glenn maxwell,aus
romario shepherd,wi
paul stirling,ire
josh inglis,aus
shimron hetmyer,wi
will jacks,eng
jos buttler,eng
mitchell marsh,aus
shamar joseph,wi
anrich nortje,sa
gudakesh motie,wi
